X,Y,FID,F560,Location,Latitude,Longitude,Shelter,Bench
-8426377.54131978,5691130.81140602,1,8767,SUSSEX / RIDEAU FALLS,45.440453,-75.695438,Y, 
-8426397.02228221,5691019.27865229,2,6859,SUSSEX / RIDEAU FALLS,45.43975,-75.695613, , 
-8426168.9282975,5691513.96770656,3,7001,SUSSEX / ALEXANDER,45.442868,-75.693564,Y, 
-8426031.00336122,5691504.13050388,4,8762,ALEXANDER / THOMAS,45.442806,-75.692325, , 
-8426162.36046576,5691465.41773574,5,7000,JOHN / SUSSEX,45.442562,-75.693505, , 
-8425940.38925574,5691461.76813688,6,7002,ALEXANDER / CHARLES,45.442539,-75.691511, , 
-8425908.10660516,5691412.90106777,7,8766,CRICHTON / CHARLES,45.442231,-75.691221, , 
-8425768.17795161,5691325.79756976,8,7003,CRICHTON / UNION,45.441682,-75.689964, , 
-8425719.75393879,5691331.03314035,9,7005,CRICHTON / UNION,45.441715,-75.689529, ,Y
-8425579.71396764,5691241.07462634,10,7004,CRICHTON / VICTORIA,45.441148,-75.688271, , 
-8425542.75587026,5691245.04092871,11,7006,CRICHTON / VICTORIA,45.441173,-75.687939, , 
-8425395.36879827,5691176.50157896,12,7007,CRICHTON / KEEFER,45.440741,-75.686615, , 
-8425299.7453173,5691122.24167894,13,8763,CRICHTON / KEEFER,45.440399,-75.685756, ,Y
-8424991.7241507,5690993.89113915,14,7008,CRICHTON / DUFFERIN,45.43959,-75.682989, , 
-8424953.20758665,5691003.41012842,15,8765,CRICHTON / THE MEWS,45.43965,-75.682643, , 
-8424653.86938514,5690914.72370894,16,7010,CRICHTON / ELECTRIC,45.439091,-75.679954, ,Y
-8424645.6317508,5690883.31107286,17,7009,CRICHTON / ELECTRIC,45.438893,-75.67988, ,Y
-8424483.88447358,5690838.73034679,18,8764,CRICHTON / BEECHWOOD,45.438612,-75.678427, ,Y
-8424493.56926563,5690863.16227365,19,7011,CRICHTON / BEECHWOOD,45.438766,-75.678514,Y, 
-8424317.12776086,5690978.02442664,20,8922,BEECHWOOD / MACKAY,45.43949,-75.676929, ,Y
-8424180.20470752,5691066.71043816,21,8794,BEECHWOOD / LOYER,45.440049,-75.675699,Y, 
-8423949.21659034,5691243.60930027,22,8795,BEECHWOOD / ST CHARLES,45.441164,-75.673624,Y, 
-8423997.41796229,5691242.02283636,23,8790,BEECHWOOD / ST CHARLES,45.441154,-75.674057,Y,Y
-8423696.85507946,5691407.50164961,24,1649,BEECHWOOD / MARIER,45.442197,-75.671357, , 
-8423705.31535665,5691428.44462414,25,7015,BEECHWOOD / ACACIA,45.442329,-75.671433, , 
-8423578.52223894,5691715.1457191,26,7013,BEECHWOOD / JOLLIET,45.444136,-75.670294, ,Y
-8423605.57289799,5691704.83261353,27,8797,BEECHWOOD / CORONA,45.444071,-75.670537, , 
-8423490.24569649,5691989.32121838,28,7016,BEECHWOOD / JULIANA,45.445864,-75.669501, ,Y
-8423454.6234333,5691994.55722615,29,8796,BEECHWOOD / JULIANA,45.445897,-75.669181, ,Y
-8423373.58266161,5692270.80405871,30,7017,HEMLOCK / LANSDOWNE,45.447638,-75.668453, ,Y
-8423078.36308676,5692461.84889928,31,7018,HEMLOCK / WHITEMARL,45.448842,-75.665801, ,Y
-8423332.28310592,5692264.6157006,32,7019,HEMLOCK / LANSDOWNE,45.447599,-75.668082, , 
-8422993.0923051,5692451.05868248,33,7020,HEMLOCK / WHITEMARL,45.448774,-75.665035, , 
-8424250.22469486,5691067.34521452,34,8788,SPRINGFIELD / BEECHWOOD,45.440053,-75.676328, ,Y
-8424305.66172856,5691377.83379016,35,7021,SPRINGFIELD / PUTMAN,45.44201,-75.676826, , 
-8424346.18193029,5691642.63808941,36,7022,SPRINGFIELD / RIDEAU,45.443679,-75.67719, , 
-8424374.12305634,5691838.43011881,37,7023,SPRINGFIELD / LINDENLEA,45.444913,-75.677441, , 
-8424391.711456,5692062.78699385,38,8789,MAPLE LANE / SPRINGFIELD,45.446327,-75.677599,Y, 
-8424089.70150262,5692098.16988601,39,7024,MAPLE LANE / ELMDALE,45.44655,-75.674886,Y, 
-8423894.44697413,5692123.39821354,40,7025,MAPLE LANE / ACACIA,45.446709,-75.673132, , 
-8423816.85739519,5691784.16529656,41,7026,ACACIA / RIDEAU,45.444571,-75.672435, , 
-8423712.88511334,5691371.96222627,42,1650,MARIER / BEECHWOOD,45.441973,-75.671501, , 
-8423653.21783085,5691362.75995604,43,7263,MARIER / BARRETTE,45.441915,-75.670965, , 
-8423439.26166329,5691245.51218663,44,7029,MARIER / GENEST,45.441176,-75.669043, , 
-8423444.04840902,5691226.31486983,45,7264,MARIER / GENEST,45.441055,-75.669086, , 
-8422926.41248816,5690985.31943292,46,7027,MARIER / LONGPRE,45.439536,-75.664436, , 
-8422949.56696194,5690966.75731996,47,7028,MARIER / LONGPRE,45.439419,-75.664644, , 
-8423068.67887319,5691066.86681813,48,8752,DES PÈRES-BLANCS / MARIER,45.44005,-75.665714, , 
-8423030.05097967,5691086.38102086,49,8995,DES PÈRES-BLANCS / MARIER,45.440173,-75.665367, , 
-8422942.10849823,5691195.37605217,50,7034,DES PÈRES-BLANCS / MARQUETTE,45.44086,-75.664577, , 
-8422936.54252263,5691183.95289586,51,7035,DES PÈRES-BLANCS / LONGPRÉ,45.440788,-75.664527, , 
-8422633.08527969,5691489.20895265,52,839,DES PÈRES-BLANCS / LEBRUN,45.442712,-75.661801, , 
-8422712.23351643,5691433.04364884,53,1890,DES PÈRES-BLANCS / LEBRUN,45.442358,-75.662512, ,Y
-8422450.07579434,5691748.78018419,54,7040,300 DES PÈRES BLANCS,45.444348,-75.660157,Y, 
-8422014.4826619,5690773.20339826,55,1545,GRANVILLE / MONTRÉAL,45.438199,-75.656244, , 
-8421829.80347952,5690878.22818792,56,8749,ALFRED / MONTRÉAL,45.438861,-75.654585, ,Y
-8421993.88849658,5690971.35610475,57,7046,MONTFORT / ALFRED,45.439448,-75.656059, , 
-8422064.13115404,5690919.31891254,58,1544,MONTFORT / GRANVILLE,45.43912,-75.65669, , 
-8422311.70586635,5690919.00213031,59,8745,MONTFORT / STE ANNE,45.439118,-75.658914, , 
-8422346.21493799,5690890.7625627,60,8747,MONTFORT / STE ANNE,45.43894,-75.659224, , 
-8422541.2468191,5690875.69131009,61,7049,MONTFORT / BRADLEY,45.438845,-75.660976,Y,Y
-8422588.11235349,5690886.16226603,62,7047,MONTFORT / PARK,45.438911,-75.661397, , 
-8422767.55949589,5690869.50449411,63,7048,MONTFORT / MARIER,45.438806,-75.663009, , 
-8422825.44566731,5690879.49952014,64,7050,MARIER / MONTFORT,45.438869,-75.663529, , 
-8422768.78401804,5690839.51986995,65,7110,MARIER / MONFORT,45.438617,-75.66302, , 
-8422675.05300008,5690598.85305119,66,7111,MARIER / DESCHAMPS,45.4371,-75.662178, , 
-8422643.77219887,5690613.92420455,67,7112,MARIER / DESCHAMPS,45.437195,-75.661897, , 
-8424142.02218867,5690728.15220719,68,8944,VANIER / PATHWAY,45.437915,-75.675356, , 
-8424121.20544385,5690685.7936291,69,1398,VANIER / PATHWAY,45.437648,-75.675169, , 
-8423715.33432574,5690633.12250343,70,6579,VANIER / MEILLEUR,45.437316,-75.671523,Y, 
-8423723.23802076,5690607.5807299,71,6580,VANIER / MEILLEUR,45.437155,-75.671594, , 
-8423440.26370861,5690513.66309756,72,7051,VANIER / DESCHAMPS,45.436563,-75.669052, , 
-8423501.37815008,5690512.07680363,73,8775,VANIER / DESCHAMPS,45.436553,-75.669601, , 
-8423147.93858541,5690279.66738808,74,7052,VANIER / MONTRÉAL,45.435088,-75.666426,Y,Y
-8423494.03119563,5689961.6033586,75,8781,MONTRÉAL / NORTH RIVER,45.433083,-75.669535,Y, 
-8423373.24944841,5690004.11680851,76,1575,MONTRÉAL / MONTGOMERY,45.433351,-75.66845,Y, 
-8423171.87232421,5690139.74923535,77,8783,MONTRÉAL / VANIER,45.434206,-75.666641,Y, 
-8423018.36263055,5690199.0790596,78,382,MONTRÉAL / VANIER,45.43458,-75.665262, , 
-8422891.45830453,5690294.57892037,79,8947,MONTRÉAL / EMOND,45.435182,-75.664122, , 
-8422655.79476049,5690403.72267016,80,631,MONTRÉAL / OLMSTEAD,45.43587,-75.662005, , 
-8422625.62714946,5690442.43105293,81,901,MONTRÉAL / MARIER,45.436114,-75.661734, , 
-8422224.76535147,5690636.76815765,82,7058,MONTRÉAL / LACASSE,45.437339,-75.658133, , 
-8422286.77035122,5690627.56688849,83,1279,MONTRÉAL / BRADLEY,45.437281,-75.65869, , 
-8421968.17372135,5690780.02514049,84,1543,MONTRÉAL / GRANVILLE,45.438242,-75.655828, ,Y
-8421878.22750916,5690796.36565867,85,807,MONTRÉAL / LAFONTAINE,45.438345,-75.65502, , 
