id,name,bikeScore,totalCyclingKm,bikeLanesKm,pathsKm,densityPerKm2,transitScore,areaKm2
centretown,Centretown,98,54.1,16.3,9.3,10.31,98,3.74
old-ottawa-east,Old Ottawa East,92,28.5,6,11.2,12.81,83,1.9
westboro,Westboro,81,32.9,4.8,14.6,9.07,63,2.97
sandy-hill,Sandy Hill,79,28.4,8,10.8,10.25,86,2.33
island-park-wellington-village,Island Park - Wellington Village,77,25.6,6.6,6.2,7.49,70,2.47
lowertown-west,Lowertown West,77,14.3,5.5,1.8,8.73,80,1.21
vanier-south,Vanier South,73,11.6,4.7,1.3,7.32,57,1.21
kanata-lakes,Kanata Lakes,72,98.2,22.8,28.8,6,40,12.7
stittsville-east,Stittsville East,71,53.3,11.1,13.9,6.27,19,6.61
glebe-dows-lake,Glebe - Dows Lake,70,34.6,6.8,14,9.14,55,3.01
beacon-hill-south-cardinal-heights,Beacon Hill South - Cardinal Heights,69,27.7,2.5,12.1,9.21,61,2.27
lowertown-east,Lowertown East,69,11.5,2.5,2.2,7.79,55,0.93
chapman-mills,Chapman Mills,67,34.8,9.5,8.8,7.61,33,3.27
old-barrhaven-west,Old Barrhaven West,67,78.1,5.5,30.5,5.24,42,10.86
old-ottawa-south,Old Ottawa South,67,16.8,4.1,5.1,7.37,57,1.62
riverside-park-mooney-s-bay,Riverside Park - Mooney's Bay,67,31.4,4.9,15.9,7.67,66,3.49
greenboro-west,Greenboro West,66,19,0.7,11.8,13.43,56,1.26
beaverbrook,Beaverbrook,65,34.6,7.5,17.2,10.31,52,3
hunt-club-park,Hunt Club Park,65,16.1,1.1,12.3,9.8,52,1.68
overbrook,Overbrook,65,63.6,11,15.2,6.39,100,6.25
greenboro-east,Greenboro East,64,12,3,6.8,7.73,49,1.53
katimavik-hazeldean,Katimavik - Hazeldean,61,50,4.6,23.8,7.11,54,5.49
riverview,Riverview,61,79.4,7.7,22,5.93,91,8.15
west-centretown,West Centretown,61,19.4,0.8,4.5,6.53,69,1.51
old-barrhaven-east,Old Barrhaven East,60,47.6,10.5,16.8,6.86,59,5.17
rideau-crest-davidson-heights,Rideau Crest - Davidson Heights,60,51.7,8,17.8,7.25,33,5.08
billings-bridge-heron-park,Billings Bridge - Heron Park,58,23.7,4.4,4,5.36,65,2.64
britannia,Britannia,58,16.2,1.7,12.4,6.26,45,2.8
convent-glen-orleans-woods,Convent Glen - Orléans Woods,57,44.3,0,27,6.31,59,5.83
hintonburg-mechanicsville,Hintonburg - Mechanicsville,56,16.7,1.5,4.7,5.5,88,1.71
laurentian,Laurentian,56,27.7,6.8,5.8,5.6,56,3.16
glen-cairn,Glen Cairn,55,40,3.3,17.2,6.18,50,4.74
orleans-village-chateauneuf,Orléans Village - Chateauneuf,54,36.2,4.6,9.4,6.01,52,3.6
fallingbrook,Fallingbrook,53,45.2,11.3,14.2,5.7,60,5.78
bells-corners-west,Bells Corners West,52,10.1,1.6,3.1,5.82,46,1.2
