OBJECTID,FACILITY_TYPE,LENGTH_M,COORDINATES
54442,"Paved Shoulder",782,45.46377991362693,-76.20912423911857
54443,"Bike Lane",44,45.39015667094112,-75.73363808280568
54444,"Bike Lane",255,45.35141146254736,-75.64162713820821
54445,"Bike Lane",125,45.464187626462795,-75.49765934707122
54446,"Bike Lane",64,45.46489807725111,-75.49658535814847
54447,"Bike Lane",427,45.2857974252975,-75.70797956802409
54448,"Suggested Route",137,45.29965690053368,-75.87732313190193
54753,"Bike Lane",342,45.33343276824749,-75.90495765284771
54754,"Suggested Route",183,45.32442575320909,-75.92336147400607
54755,"Bike Lane",330,45.31966251243479,-75.91870992919293
54756,"Bike Lane",116,45.344795021919886,-75.6378415783121
54757,"Bike Lane",118,45.463345981581696,-75.50019343340229
54758,"Bike Lane",347,45.290564577174464,-75.86165840160561
54759,"Bike Lane",33,45.39022676816664,-75.73335617170659
54760,"Paved Shoulder",20,45.317241678285136,-75.74172694751017
54761,"Suggested Route",125,45.32514206222809,-75.9237073047292
54762,"Bike Lane",112,45.350380222538185,-75.64102391500334
54763,"Paved Shoulder",1430,45.323625032937436,-75.72505782975932
54764,"Bike Lane",329,45.289905226502384,-75.71099073882276
54765,"Bike Lane",149,45.30698985651176,-75.90583384801627
54766,"Suggested Route",87,45.325897536679726,-75.91127461311216
54767,"Paved Shoulder",357,45.43482644861818,-75.5764222477773
54768,"Suggested Route",120,45.32966375512964,-75.91570072031485
54769,"Bike Lane",94,45.46179061724959,-75.50653785426667
54770,"Suggested Route",121,45.32491329798774,-75.91062147501852
54771,"Bike Lane",133,45.34548173326672,-75.6382139847946
54772,"Suggested Route",133,45.32886036355543,-75.9213859322709
54773,"Bike Lane",95,45.287950913357705,-75.91914727309069
54774,"Suggested Route",122,45.3175556277166,-75.90088930779176
54775,"Bike Lane",146,45.390820382127025,-75.72929965297136
54776,"Bike Lane",83,45.36423310105574,-75.70784061841256
54777,"Bike Lane",73,45.4052708761482,-75.66018461619592
54778,"Bike Lane",323,45.412172894639696,-75.67979263707747
54779,"Bike Lane",184,45.33889017080168,-75.89716814003353
54780,"Bike Lane",67,45.39049917644088,-75.68298543195525
54781,"Paved Shoulder",321,45.48333053472707,-76.07769256982382
54782,"Bike Lane",259,45.46147308645391,-75.51246391892343
54783,"Bike Lane",574,45.45755395818501,-75.46599994785115
54784,"Bike Lane",389,45.31683535245768,-75.91999064471709
54785,"Bike Lane",226,45.32330000963421,-75.89127440664217
54786,"Paved Shoulder",312,45.34316004970909,-75.94233245550221
54787,"Paved Shoulder",632,45.3325854791614,-75.6585930503458
54788,"Bike Lane",321,45.280888066354095,-75.83782281377555
54789,"Bike Lane",231,45.32989808044635,-75.90014678642905
54790,"Bike Lane",53,45.391248287220684,-75.7384676126227
54791,"Bike Lane",701,45.336271980017955,-75.89555001639036
54792,"Suggested Route",168,45.3224666509301,-75.90734305811776
54793,"Bike Lane",10,45.42944875573465,-75.57020951095043
54794,"Bike Lane",385,45.435847868545835,-75.55424608633056
54795,"Suggested Route",107,45.32210860727904,-75.91821478948643
54796,"Bike Lane",236,45.43090976480295,-75.56653376470791
54797,"Bike Lane",30,45.32169123380081,-75.92628678023664
54798,"Paved Shoulder",3532,45.43689916715079,-75.43549940948357
54799,"Bike Lane",172,45.32104785721555,-75.92675392664225
54800,"Paved Shoulder",105,45.42862310285015,-75.57303803808215
54801,"Bike Lane",357,45.40733113690293,-75.65890214087212
54802,"Bike Lane",172,45.4017539163618,-75.74958898760543
54803,"Bike Lane",81,45.390754900995155,-75.6823533925927
54804,"Bike Lane",123,45.408047846150374,-75.658469924558
54805,"Bike Lane",80,45.36348204555361,-75.70951480591262
54806,"Bike Lane",86,45.34987414569322,-75.64073802975743
54807,"Bike Lane",215,45.32444207811888,-75.89281845430871
54808,"Bike Lane",98,45.37361368426718,-75.62340486028054
54809,"Bike Lane",196,45.288284675836124,-75.86629286136036
54810,"Bike Lane",209,45.321427986880636,-75.91885953641699
54811,"Bike Lane",63,45.32134956473894,-75.9264882454054
54812,"Paved Shoulder",154,45.485377895640134,-76.07476771993743
54813,"Paved Shoulder",1303,45.347625068936615,-75.35926422784983
54814,"Paved Shoulder",33,45.37558134826014,-75.95891944567656
54815,"Bike Lane",76,45.4612769484027,-75.50819532322097
54816,"Bike Lane",233,45.4559246433487,-75.46571685816241
54817,"Bike Lane",234,45.43016783709585,-75.56837577367273
54818,"Paved Shoulder",207,45.367325380716935,-75.63989939404921
54819,"Bike Lane",210,45.46703319751263,-75.51797069042976
54820,"Bike Lane",691,45.26223404379731,-75.90495892935373
54821,"Paved Shoulder",60,45.26194609397443,-75.90460746349882
54822,"Bike Lane",21,45.28583905130933,-75.70786980108288
54823,"Bike Lane",53,45.396090424807916,-75.66238974036825
54824,"Bike Lane",63,45.343629109843675,-75.63717019633337
54825,"Bike Lane",99,45.4635365296053,-75.49934607864593
54826,"Paved Shoulder",352,45.34462735357667,-75.9441960851193
54827,"Bike Lane",98,45.28659542515207,-75.91742110816996
54828,"Suggested Route",114,45.29372777650824,-75.88250058372003
54829,"Bike Lane",83,45.46385168108314,-75.49834306112218
54830,"Bike Lane",445,45.31270808200463,-75.93153474890623
54831,"Bike Lane",23,45.39111531660264,-75.73838884115206
54832,"Bike Lane",43,45.37336056224702,-75.62420532028412
54833,"Bike Lane",49,45.404258125747035,-75.75486009508012
54834,"Bike Lane",254,45.43168532663839,-75.56454000963036
54835,"Bike Lane",357,45.47019202301503,-75.46862374713301
54836,"Bike Lane",105,45.334020054738055,-75.90541080709447
54837,"Suggested Route",333,45.33049929662621,-75.91543697584574
54838,"Bike Lane",68,45.464099232711455,-75.49783924818159
54839,"Bike Lane",208,45.36745506552375,-75.6325294223205
54840,"Bike Lane",274,45.34270847404411,-75.89941172467645
54841,"Bike Lane",788,45.35098901847402,-75.91800228581945
54842,"Bike Lane",267,45.344313661505446,-75.90033372763628
54843,"Bike Lane",91,45.389605270426564,-75.6851795903929
54844,"Bike Lane",227,45.3915580053054,-75.73865109351948
54845,"Paved Shoulder",1521,45.34761264922959,-75.60949326861798
54846,"Bike Lane",61,45.466494613469266,-75.49416887566115
54847,"Bike Lane",142,45.28089944195369,-75.84290858892568
54848,"Bike Lane",742,45.29474873165263,-75.7068367007769
54849,"Bike Lane",256,45.27425195039469,-75.71774677493683
54850,"Suggested Route",7,45.329860682079904,-75.91549457582175
54851,"Bike Lane",207,45.39307749648833,-75.66261304178495
54852,"Bike Lane",99,45.30702074735657,-75.90157994246364
54853,"Bike Lane",43,45.43547318206172,-75.68164401906398
54854,"Bike Lane",50,45.395098792723914,-75.74078729175669
54855,"Suggested Route",344,45.293584348040255,-75.88929759918075
54856,"Suggested Route",169,45.328468044898074,-75.91945089467357
54857,"Bike Lane",56,45.34298737338165,-75.63679713138578
54858,"Bike Lane",222,45.346340366118376,-75.63871140532362
54859,"Bike Lane",116,45.34223738390973,-75.63638743942909
54860,"Bike Lane",153,45.30413481814714,-75.90710061719564
54861,"Cycle Track",41,45.43206241675902,-75.67784634897954
54862,"Bike Lane",196,45.28934731890908,-75.86474170981654
54863,"Bike Lane",184,45.46764065931246,-75.51600100840518
54864,"Bike Lane",80,45.364028885767176,-75.70825486392943
54865,"Bike Lane",85,45.36377008586235,-75.7088691795314
54866,"Paved Shoulder",284,45.36808571238399,-75.63810061381251
54867,"Bike Lane",350,45.39033742032714,-75.66200218290018
54868,"Bike Lane",19,45.385770417110564,-75.66259322405146
54869,"Paved Shoulder",199,45.18533697894041,-75.82699563884498
54870,"Bike Lane",74,45.32750637748358,-75.9039608920899
54871,"Bike Lane",14,45.34625676158499,-75.63866297085845
54872,"Bike Lane",230,45.28261488622903,-75.84545773371583
54873,"Bike Lane",52,45.34764181141955,-75.63945737172546
54874,"Bike Lane",274,45.31550112715404,-75.91951960770797
54875,"Paved Shoulder",426,45.4372407879413,-75.63029566884006
54876,"Bike Lane",249,45.39077861746657,-75.73111373421231
54877,"Bike Lane",100,45.410976418793595,-75.65657394750586
54878,"Bike Lane",95,45.43581683114205,-75.68188189744278
54879,"Bike Lane",119,45.38588757386891,-75.66261703479638
54880,"Paved Shoulder",979,45.4116382470889,-75.63319685889851
54881,"Paved Shoulder",49,45.31738297058893,-75.74129832086393
54882,"Bike Lane",92,45.391046737053955,-75.68163874505494
54883,"Bike Lane",117,45.366560506699585,-75.63265569041518
54884,"Bike Lane",98,45.40841514864968,-75.65824729058956
54885,"Cycle Track",33,45.43227168541117,-75.67806992528072
54886,"Paved Shoulder",23,45.156803092596384,-76.03269147734395
54887,"Paved Shoulder",637,45.43025000697276,-75.57391879489575
54888,"Bike Lane",97,45.30682419211259,-75.90685578046663
54889,"Bike Lane",45,45.330579127043144,-75.6574235282875
54890,"Bike Lane",115,45.39677181676854,-75.6620475882462
54891,"Bike Lane",60,45.397811061640745,-75.68630064025677
54892,"Bike Lane",8,45.32433335351212,-75.89267929628804
54893,"Paved Shoulder",217,45.187815524333715,-75.8230723187068
54895,"Bike Lane",296,45.45986150774604,-75.46517747552984
54896,"Bike Lane",25,45.33363610124277,-75.90524585215378
54897,"Suggested Route",49,45.29506701240783,-75.88721622512533
54898,"Bike Lane",12,45.32170305346242,-75.91900014791177
54899,"Bike Lane",160,45.31422389823638,-75.93164592260916
54900,"Bike Lane",153,45.391662801222424,-75.66235296603546
54901,"Paved Shoulder",324,45.45949931412738,-75.62224731096838
54902,"Bike Lane",429,45.291038964330966,-75.85494099035381
54903,"Paved Shoulder",255,45.44851978709549,-75.61625555071824
54904,"Bike Lane",434,45.28219912569486,-75.71389494811886
54905,"Bike Lane",76,45.28987671585956,-75.86350237698258
54906,"Bike Lane",97,45.39004209822573,-75.73399722117145
54907,"Bike Lane",338,45.3928771419675,-75.73945076659888
54908,"Bike Lane",144,45.41163686223665,-75.65575032264606
54909,"Suggested Route",291,45.32232947747328,-75.91740889737031
54910,"Bike Lane",280,45.38315191717627,-75.66218235350513
54911,"Paved Shoulder",121,45.450019997242194,-75.61708870131332
54912,"Bike Lane",230,45.461495056927745,-75.46577610564866
54913,"Bike Lane",332,45.28315591330624,-75.91181900025917
54914,"Bike Lane",115,45.290252143497796,-75.86261970945239
54915,"Bike Lane",116,45.38242954921694,-75.66200300216371
54916,"Paved Shoulder",205,45.436372420653335,-75.63297936329349
54917,"Paved Shoulder",257,45.43696667114725,-75.6309031976701
54918,"Bike Lane",222,45.432355818422565,-75.56290578368572
54919,"Suggested Route",25,45.329739702129814,-75.91534947993706
54920,"Bike Lane",327,45.39835016717499,-75.7451507288919
54921,"Bike Lane",16,45.40257550106461,-75.7527460421113
54922,"Bike Lane",350,45.39661764118027,-75.74171242983687
54923,"Bike Lane",449,45.3271713825284,-75.9070260884681
54924,"Bike Lane",168,45.3292908348527,-75.89932396645972
54925,"Cycle Track",45,45.43243960270141,-75.678249316148
54926,"Suggested Route",187,45.326476116729374,-75.91179164566046
54927,"Bike Lane",367,45.32811444617998,-75.90150513615667
54928,"Paved Shoulder",977,45.45891869178811,-76.2027592836651
54929,"Bike Lane",125,45.37935353807554,-75.66125786131362
54930,"Bike Lane",174,45.362914825932656,-75.71077368339223
54931,"Bike Lane",111,45.43444469961917,-75.68002289414942
54932,"Bike Lane",318,45.43281444864286,-75.56177349140604
54933,"Bike Lane",138,45.39743539349882,-75.6617312348408
54934,"Bike Lane",418,45.32298837594735,-75.92490270096263
54935,"Bike Lane",204,45.349553881639075,-75.92395406924281
54936,"Suggested Route",424,45.3192020034705,-75.90425208817578
54937,"Bike Lane",428,45.38053089510694,-75.66154484969071
54938,"Paved Shoulder",147,45.45330892230035,-75.61882735191818
54939,"Bike Lane",171,45.42456198254176,-75.68474079391933
54940,"Bike Lane",171,45.39281638060295,-75.66259135465735
54941,"Bike Lane",115,45.42548549282822,-75.68553259416359
54942,"Bike Lane",242,45.38950089148617,-75.61783970906053
54943,"Bike Lane",234,45.279139173364875,-75.71521737062503
54944,"Paved Shoulder",311,45.325525567406665,-75.72003133084155
54945,"Bike Lane",47,45.343999556036444,-75.63736875096063
54946,"Bike Lane",137,45.465493129181844,-75.49569242287458
54947,"Bike Lane",333,45.46401428387921,-75.46659850161316
54948,"Paved Shoulder",1134,45.34269647566115,-75.987420882194
54949,"Paved Shoulder",307,45.34815402710717,-75.99444158355035
54950,"Bike Lane",256,45.286324319073486,-75.70622369941017
54951,"Suggested Route",287,45.29856598352731,-75.87859738225099
54952,"Bike Lane",278,45.465003347592514,-75.4767778160524
54953,"Paved Shoulder",1527,45.448762176555036,-75.57750240992269
54954,"Bike Lane",182,45.34886188625488,-75.64015354181613
54955,"Bike Lane",141,45.307623428831114,-75.90480701525603
54956,"Bike Lane",96,45.287500717086,-75.91857338796468
54957,"Bike Lane",271,45.34973756134126,-75.92279146780547
54958,"Bike Lane",70,45.462035827797244,-75.50584303434385
54959,"Bike Lane",169,45.29070663684072,-75.85247253763234
54960,"Bike Lane",146,45.290932688352726,-75.85354492755391
54961,"Bike Lane",346,45.436902054120594,-75.55152444703953
54962,"Paved Shoulder",926,45.36632716556857,-75.64237831573699
54963,"Bike Lane",325,45.39947964745987,-75.74721772810614
54964,"Bike Lane",252,45.401314295343504,-75.74841964161695
54965,"Paved Shoulder",546,45.41420506599057,-75.64063187943356
54966,"Bike Lane",62,45.398467275782075,-75.68666070298896
54967,"Bike Lane",209,45.42612415494666,-75.68601981611918
54968,"Paved Shoulder",607,45.15691164669651,-76.03283049792239
54969,"Bike Lane",111,45.43521858339384,-75.68127704379567
54970,"Bike Lane",90,45.38930030852715,-75.72674058628887
54971,"Bike Lane",409,45.462628668203294,-75.51393988057966
54972,"Suggested Route",129,45.29181747280454,-75.89040023986949
54973,"Bike Lane",208,45.285925365412496,-75.91648930369206
