APPLICATION_NUMBER,APPLICATION_DATE,APPLICATION_TYPE,STATUS,STATUS_DATE,ADDRESS,WARD,LATITUDE,LONGITUDE,IS_ACTIVE,IS_APPROVED
D07-12-22-0056           ,2022-04-05,Site Plan Control        ,Application File Pending,2024-03-05,2351 MER-BLEUE; CH DE LA,Ward 19                            ,45.440200000000004,-75.494755,1,0
D02-02-22-0030           ,2022-04-06,Zoning By-law Amendment  ,Zoning By-law in Effect,2022-12-12,4 SPRUCE,Ward 14                            ,45.409912,-75.711047,0,1
D07-12-22-0058           ,2022-04-08,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2024-09-25,755 COPE,Ward 6                             ,45.267702,-75.895967,0,1
D02-02-21-0089           ,2021-09-01,Zoning By-law Amendment  ,Zoning By-law in Effect,2022-01-04,4424 PIPERVILLE,Ward 20                            ,45.336967,-75.53492899999999,0,1
D02-02-21-0158           ,2021-12-20,Zoning By-law Amendment  ,Zoning By-law in Effect,2022-07-12,2889 BLANCHFIELD,Ward 20                            ,45.1772,-75.57737999999999,0,1
D07-12-22-0061           ,2022-04-12,Site Plan Control        ,Letter of Undertaking sent to applicant,2023-05-17,2375 ST-LAURENT; BOUL,Ward 10                            ,45.382391999999996,-75.622591,0,0
D02-02-22-0034           ,2022-04-21,Zoning By-law Amendment  ,Zoning By-law in Effect,2022-10-05,570 MARCH,Ward 4                             ,45.346663,-75.919977,0,1
D02-02-22-0036           ,2022-04-22,Zoning By-law Amendment  ,Zoning By-law in Effect,2023-07-06,1244 KILBORN,Ward 18                            ,45.385557,-75.67148399999999,0,1
D02-02-22-0037           ,2022-04-22,Zoning By-law Amendment  ,Zoning By-law in Effect,2022-12-12,2026 SCOTT,Ward 15                            ,45.395325,-75.753038,0,1
D02-02-22-0038           ,2022-04-25,Zoning By-law Amendment  ,Zoning By-law in Effect,2024-10-17,6310 HAZELDEAN,Ward 6                             ,45.265958,-75.94036,0,1
D02-02-22-0058           ,2022-06-23,Zoning By-law Amendment  ,Zoning By-law in Effect,2023-09-18,393 MCARTHUR,Ward 12                            ,45.432404999999996,-75.650151,0,1
D02-02-22-0060           ,2022-06-29,Zoning By-law Amendment  ,Application File Pending,2023-02-16,2666 TENTH LINE,Ward 19                            ,45.43803,-75.481189,1,0
D07-12-16-0016           ,2016-02-09,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2022-11-08,3368 CARLING,Ward 7                             ,45.350984,-75.830861,0,1
D07-12-16-0045           ,2016-04-12,Site Plan Control        ,Application File Pending,2016-06-14,277 KING EDWARD,Ward 12                            ,45.431774999999995,-75.68778499999999,1,0
D07-12-16-0045           ,2016-04-12,Site Plan Control        ,Application File Pending,2016-06-14,269 KING EDWARD,Ward 12                            ,45.431616,-75.687732,1,0
D07-12-16-0045           ,2016-04-12,Site Plan Control        ,Application File Pending,2016-06-14,260 MURRAY,Ward 12                            ,45.431497,-75.68763,1,0
