schoolName,boardName,schoolLevel,avgScore
"St. Gabriel Elementary School","Ottawa CSB","Elementary",95
"Stephen Leacock Public School","Ottawa-Carleton DSB","Elementary",95
"St. Isabel Catholic Elementary School","Ottawa CSB","Elementary",93
"École élémentaire catholique George-Étienne-Cartier","CSDC du Centre-Est de l'Ontario","Elementary",92
"École élémentaire catholique Jean-Robert-Gauthier","CSDC du Centre-Est de l'Ontario","Elementary",92
"École élémentaire catholique Coeur d'Ottawa","CSDC du Centre-Est de l'Ontario","Elementary",91
"W. Erskine Johnston Public School","Ottawa-Carleton DSB","Elementary",91
"École élémentaire catholique d'enseignement personnalisé Édouard-Bond","CSDC du Centre-Est de l'Ontario","Elementary",89
"École élémentaire publique Séraphin-Marion","CÉP de l'Est de l'Ontario","Elementary",89
"First Avenue Public School","Ottawa-Carleton DSB","Elementary",89
"École élémentaire publique Charlotte Lemieux","CÉP de l'Est de l'Ontario","Elementary",88
"St Luke (Nepean) Elementary School","Ottawa CSB","Elementary",88
"Elmdale Public School","Ottawa-Carleton DSB","Elementary",88
"Hopewell Avenue Public School","Ottawa-Carleton DSB","Elementary",88
"Knoxdale Public School","Ottawa-Carleton DSB","Elementary",88
"St Anne Elementary School","Ottawa CSB","Elementary",87
"Colonel By Secondary School","Ottawa-Carleton DSB","Secondary",87
"École secondaire catholique Paul-Desmarais","CSDC du Centre-Est de l'Ontario","Secondary",86
"École élémentaire publique Francojeunesse","CÉP de l'Est de l'Ontario","Elementary",86
"Chapel Hill Catholic Elementary School","Ottawa CSB","Elementary",86
"St James Elementary School","Ottawa CSB","Elementary",86
"St. Stephen Catholic Elementary School","Ottawa CSB","Elementary",86
"Kanata Highlands Public School","Ottawa-Carleton DSB","Elementary",86
"École élémentaire publique Louise-Arbour","CÉP de l'Est de l'Ontario","Elementary",85
"Convent Glen Catholic Elementary School","Ottawa CSB","Elementary",85
"St. Brother Andre Elementary School","Ottawa CSB","Elementary",85
"St. Gemma Elementary School","Ottawa CSB","Elementary",85
"Earl of March Secondary School","Ottawa-Carleton DSB","Secondary",85
"St. Benedict Elementary School","Ottawa CSB","Elementary",84
"St. Cecilia Catholic School","Ottawa CSB","Elementary",84
