id,name,establishments,totalInspections,recentInspections,avgScore,recentAvgScore,perfectScoreRate,lowScoreRate,totalViolations,criticalViolations,violationsPerInspection,criticalViolationRate
"alta-vista","Alta Vista",101,869,243,99.1,98.6,98.6,1.4,864,225,0.99,26
"bayshore","Bayshore",114,913,214,98.9,98.8,98.5,1.5,715,194,0.78,27.1
"beacon-hill-south-cardinal-heights","Beacon Hill South",109,769,179,98.7,100,97.5,2.5,381,76,0.5,19.9
"beaverbrook","Beaverbrook",26,274,53,100,100,100,0,175,47,0.64,26.9
"bells-corners-east","Bells Corners East",120,881,257,99.4,100,98.9,1.1,734,187,0.83,25.5
"bells-corners-west","Bells Corners West",69,432,137,99.3,99.6,98.6,1.4,355,109,0.82,30.7
"billings-bridge-heron-park","Billings Bridge",163,1302,348,98.7,98.9,97.7,2.3,1621,453,1.25,27.9
"blackburn-hamlet","Blackburn Hamlet",54,323,80,99.1,98.8,98.1,1.9,213,42,0.66,19.7
"blossom-park-timbermill","Blossom Park",66,365,114,100,100,100,0,219,45,0.6,20.5
"borden-farm-fisher-glen","Borden Farm",40,465,127,98.7,99.2,98.3,1.7,403,130,0.87,32.3
"braemar-park-bel-air-heights-copeland-park","Braemar Park",43,284,78,99.8,100,99.6,0.4,144,37,0.51,25.7
"bridlewood-emerald-meadows","Bridlewood",39,373,101,99.5,99,99.2,0.8,207,52,0.55,25.1
"britannia","Britannia",119,899,214,99.5,99.8,99.2,0.8,773,223,0.86,28.8
"brookside-briarbrook-morgan-s-grant","Morgan's Grant",201,1655,396,99.4,99.4,99.1,0.9,1146,340,0.69,29.7
"cardinal-creek","Cardinal Creek",33,331,78,98.3,99.4,96.7,3.3,459,135,1.39,29.4
"carleton-heights-courtland-park","Carleton Heights",80,623,151,99.2,99.7,98.6,1.4,580,148,0.93,25.5
"carlington","Carlington",165,1199,261,99.5,99.6,99.1,0.9,942,284,0.79,30.1
"carp","Carp",94,661,150,99.7,100,99.5,0.5,441,115,0.67,26.1
"carson-grove-carson-meadows","Carson Grove",116,1029,186,98.8,99.5,97.7,2.3,700,181,0.68,25.9
"centrepointe","Centrepointe",31,281,79,99.5,99.4,98.9,1.1,219,61,0.78,27.9
"centretown","Centretown",1363,8146,1850,98.9,98.2,98.1,1.9,6813,1930,0.84,28.3
"chapel-hill-north","Chapel Hill North",49,374,83,97.3,100,95.2,4.8,293,70,0.78,23.9
"chapel-hill-south","Chapel Hill South",70,864,167,98.8,97.6,98,2,699,227,0.81,32.5
"chapman-mills","Chapman Mills",38,369,100,98.5,99.5,97.6,2.4,454,155,1.23,34.1
"city-view","City view",114,941,242,99.5,99.8,99.3,0.7,443,128,0.47,28.9
"civic-hospital","Civic Hospital",39,529,135,99.7,100,99.4,0.6,456,123,0.86,27
"constance-bay","Constance Bay",14,92,18,100,100,100,0,60,10,0.65,16.7
"convent-glen-orleans-woods","Convent Glen",94,748,160,98.9,99.7,97.9,2.1,501,117,0.67,23.4
"corkery","Corkery",9,30,6,100,100,100,0,12,4,0.4,33.3
"craig-henry-manordale","Craig Henry",26,159,47,98.4,98.9,97.5,2.5,89,25,0.56,28.1
"crestview-tanglewood","Crestview",77,683,152,99.7,99.7,99.4,0.6,354,93,0.52,26.3
"crystal-bay-lakeview-park","Crystal Bay",26,115,12,100,100,100,0,64,18,0.56,28.1
"cumberland","Cumberland",35,206,61,98.3,97.5,97.1,2.9,204,62,0.99,30.4
"dunrobin","Dunrobin",25,210,47,99.3,98.9,98.6,1.4,123,27,0.59,22
"edwards-carlsbad-springs","Carlsbad Springs",69,265,62,99.4,100,99.2,0.8,187,40,0.71,21.4
"elmvale-canterbury","Elmvale Acres",65,482,136,99.2,100,98.5,1.5,554,159,1.15,28.7
"emerald-woods-sawmill-creek","Sawmill Creek",60,582,153,99.2,99,98.8,1.2,528,147,0.91,27.8
"fallingbrook","Fallingbrook",102,1010,228,98.2,98.2,96.5,3.5,1087,348,1.08,32
"findlay-creek","Findlay Creek",42,336,103,98.8,100,98.5,1.5,247,67,0.74,27.1
"fisher-heights","Fisher Heights",150,1309,360,99.1,98.9,98.3,1.7,1142,316,0.87,27.7
"fitzroy","Fitzroy",13,71,14,99.3,100,98.6,1.4,30,5,0.42,16.7
"glebe-dows-lake","Glebe - Dows Lake",419,2611,684,98.8,98.8,98.2,1.8,3329,779,1.27,23.4
"glen-cairn","Glen Cairn",157,1192,351,99.2,98.9,98.5,1.5,1244,351,1.04,28.2
"greely","Greely",80,449,125,99.6,99.6,99.1,0.9,308,79,0.69,25.6
"greenboro-east","Greenboro East",10,65,24,100,100,100,0,56,6,0.86,10.7
"greenboro-west","Greenboro West",13,118,28,99.6,98.2,99.2,0.8,99,20,0.84,20.2
"hawthorne-meadows-sheffield-glen","Sheffield Glen",29,180,36,98.9,98.6,98.3,1.7,160,44,0.89,27.5
"hintonburg-mechanicsville","Hintonburg",318,1543,392,98.9,99.2,98.6,1.4,1184,331,0.77,28
"hunt-club-park","Hunt Club Park",22,107,26,99.1,100,98.1,1.9,109,15,1.02,13.8
"iris","Iris",76,702,163,99.6,100,99.3,0.7,367,93,0.52,25.3
"island-park-wellington-village","Wellington Village",110,660,154,99.3,99,99.1,0.9,433,110,0.66,25.4
"kanata-lakes","Kanata Lakes",178,1788,448,99.7,99.9,99.5,0.5,1534,363,0.86,23.7
