OSM_TYPE,OSM_ID,NAME,SHOP_TYPE,CATEGORY,BRAND,OPERATOR,ADDRESS,OPENING_HOURS,LATITUDE,LONGITUDE
node,12398127873,Arum Korean Market,grocery,Grocery Store,,,,,45.4190296,-75.6974214
node,13343848764,Asian Mart,grocery,Grocery Store,,Hong Kong Express,242 Rideau Street,11:00-21:00,45.4280527,-75.6869279
way,576378471,The Indian Supermarket,grocery,Grocery Store,,10:00-21:00,1547 Merivale Road,,45.3545989,-75.7340904
node,5952002193,Arya Food Market,greengrocer,Produce Store,,,508 Gladstone Avenue,,45.4100122,-75.6982537
node,2804550723,Byward Fruit Market,greengrocer,Produce Store,,,36 ByWard Market Square,,45.4276179,-75.6929097
way,465012278,Deguire & Fils,greengrocer,Produce Store,,,460 Avenue de Buckingham,,45.587593,-75.416554
node,3671178015,Herb & Spice,greengrocer,Produce Store,,,380 Bank Street,,45.4138546,-75.6948691
way,358272215,Hermas Fruits,greengrocer,Produce Store,,,35 Boulevard Gréber,,45.4600117,-75.6994968
way,329505013,HiFresh Foods,greengrocer,Produce Store,,,1486 Merivale Road,,45.3599419,-75.7362128
node,2078003979,Il Negozio Nicastro,greengrocer,Produce Store,,,792 Bank Street,,45.4028815,-75.6884322
node,6077160009,Macartney Farms Cash&Carry,greengrocer,Produce Store,,,1481 Michael Street,,45.4147256,-75.6265783
node,2965310539,Mangosteen,greengrocer,Produce Store,,,1742 Bank Street,,45.373855,-75.665552
way,64881582,Parkdale Market,greengrocer,Produce Store,,,,May-Nov: Mo-Su 08:00-18:00,45.4015332,-75.7297605
way,463227513,Potager Eardley,greengrocer,Produce Store,,,398 Chemin Eardley,,45.4226135,-75.8893645
way,68609654,Produce Depot,greengrocer,Produce Store,,,1855 Carling Avenue,Mo-Fr 08:00-21:00; Sa 08:00-19:00; Su 08:00-18:00,45.376858,-75.756933
way,483215218,Produce Depot,greengrocer,Produce Store,,,2446 Bank Street,Mo-Fr 08:00-20:00; Sa 08:00-19:00; Su 08:00-18:00,45.3525257,-75.6453444
way,790626120,Rockland Nutrition,greengrocer,Produce Store,,,,,45.5542799,-75.2745222
way,548035599,Upland AFRI & Caribbean Stote,greengrocer,Produce Store,,,1036 Merivale Road,Mo-Sa 09:00-20:00; Su 11:00-16:00,45.3788283,-75.7336185
way,561087165,Wissam Fruits,greengrocer,Produce Store,,,888 Meadowlands Drive,,45.3673482,-75.7027688
way,671009986,Adonis,supermarket,Supermarket,Marché Adonis,,920 Boulevard Maloney Ouest,Sa-We 08:00-20:00; Th-Fr 08:00-21:00,45.4782453,-75.6883445
node,7302523711,Africa World Market,supermarket,Supermarket,,,1392 Cyrville Road,,45.4205082,-75.6216449
way,69590206,B&H Your Community Grocer,supermarket,Supermarket,,,301 Rideau Street,,45.0182072,-75.6491309
way,713140766,Bombay Spices,supermarket,Supermarket,,,565 West Hunt Club Road,,45.3355826,-75.7290901
