OSM_TYPE,OSM_ID,NAME,LEISURE_TYPE,CATEGORY,SPORT,BRAND,OPERATOR,ADDRESS,PHONE,WEBSITE,OPENING_HOURS,LATITUDE,LONGITUDE
way,533298642,,fitness_centre,Fitness Center,,,,Osgoode Main Street,,,,45.1499035,-75.6012738
node,12319507801,,fitness_centre,Fitness Center,,,,,,,,45.2475817,-75.639155
node,5834617616,100% Martial Arts & Fitness,fitness_centre,Fitness Center,,,,1525 Bank Street,,,,45.3810383,-75.6682585
node,5888903553,100% Martial Arts & Fitness,fitness_centre,Fitness Center,martial_arts,,,,,,,45.2739663,-75.2757588
node,6117193694,180 Fitness,fitness_centre,Fitness Center,,,,5370 Canotek Road,,,,45.4549144,-75.5824131
node,3986694215,3 Tonnes Gym,fitness_centre,Fitness Center,,,,268 Boulevard Saint-Joseph,,,,45.4376119,-75.7328074
node,6041852450,6 Tigers Academy,fitness_centre,Fitness Center,,,,1142 Clapp Lane,,,,45.2261703,-75.6849365
node,5570159851,613 Fit,fitness_centre,Fitness Center,,,,1547 Chatelain Avenue,,,,45.3748294,-75.7420179
node,6210608700,613 Lift,fitness_centre,Fitness Center,,,,80 Jamie Avenue,,https://613lift.com/,24/7,45.3360566,-75.7162482
node,6511630914,819 Crossfit,fitness_centre,Fitness Center,,,,30 Rue Ducharme,,,,45.4392159,-75.7304066
way,510520363,9Round,fitness_centre,Fitness Center,kickboxing,9Round,,4235 Strandherd Drive,,,,45.2686918,-75.7815364
way,671165713,9Round,fitness_centre,Fitness Center,kickboxing,9Round,,2010 Trim Road,+1-613-590-9996,https://www.9round.com/,,45.4685698,-75.4545159
node,6129476508,9Round,fitness_centre,Fitness Center,kickboxing,9Round,,3681 Innes Road,,,,45.4504697,-75.5186102
way,478366920,Academy of Martial Arts,fitness_centre,Fitness Center,,,,3777 Strandherd Drive,+1-613-823-3003,https://oama.ca/,,45.2681525,-75.7458628
node,6483227509,Academy of Martial Arts Tankyushin,fitness_centre,Fitness Center,,,,2485 Lancaster Road,,,,45.4024162,-75.6169539
way,668488632,Action Martial Arts,fitness_centre,Fitness Center,,,,2200 Montréal Road,,,,45.4494364,-75.587158
node,5939980542,Aikido,fitness_centre,Fitness Center,,,,716 Industrial Avenue,,,,45.4094582,-75.6373742
node,6754681495,Algonquin Fitness Zone,fitness_centre,Fitness Center,,,,,,,,45.3486137,-75.7589722
node,6960840847,Almonte Fitness Centre,fitness_centre,Fitness Center,,,,,,,,45.2372922,-76.1803861
node,6654004769,Alpha Mixed Martial Arts,fitness_centre,Fitness Center,martial_arts,,,,,,,45.1405331,-76.1457387
way,154924828,Altea,fitness_centre,Fitness Center,,,,1660 Carling Avenue,,https://alteaactive.com/ottawa/,,45.378785,-75.7488965
way,195440335,Anytime Fitness,fitness_centre,Fitness Center,fitness,Anytime Fitness,,,,,24/7,45.1347393,-76.1407782
way,219306009,Anytime Fitness,fitness_centre,Fitness Center,,Anytime Fitness,,4744 Bank Street,,,,45.3197406,-75.5943993
way,478217655,Anytime Fitness,fitness_centre,Fitness Center,,Anytime Fitness,,71 Marketplace Avenue,+1-613-825-9301,https://www.anytimefitness.com/,24/7,45.2697159,-75.7423065
way,551780146,Anytime Fitness,fitness_centre,Fitness Center,,Anytime Fitness,,1651 Merivale Road,+1-613-695-9588,https://www.anytimefitness.com/gyms/4493/ottawa-on-k2g-3k2/,24/7,45.3504186,-75.7315264
way,558621253,Anytime Fitness,fitness_centre,Fitness Center,,Anytime Fitness,,309 Colonnade Drive,,,,45.0294097,-75.6339194
way,560871075,Anytime Fitness,fitness_centre,Fitness Center,,Anytime Fitness,,1160 Beaverwood Road,+1-613-491-1290,https://www.anytimefitness.com/gyms/2830/manotick-on-k4m-1a3/,24/7,45.2229388,-75.6821442
way,576883853,Anytime Fitness,fitness_centre,Fitness Center,,Anytime Fitness,,2288 Tenth Line Road,,,24/7,45.4512569,-75.4844617
way,592866901,Anytime Fitness,fitness_centre,Fitness Center,,Anytime Fitness,,457 Hazeldean Road,,,,45.2996907,-75.8879579
way,688422970,Anytime Fitness,fitness_centre,Fitness Center,,Anytime Fitness,,213 Boulevard des Grives,+1-613-986-3096,,24/7,45.4328567,-75.7813465
node,2443781328,Anytime Fitness,fitness_centre,Fitness Center,,Anytime Fitness,,1867 Carling Avenue,,https://www.anytimefitness.com/gyms/3045/ottawa-on-k2a-1e5,24/7,45.3760635,-75.7580494
node,3243847524,Anytime Fitness,fitness_centre,Fitness Center,fitness,Anytime Fitness,,228 Hunt Club Road,,,,45.3334747,-75.6914183
node,4003287745,Anytime Fitness,fitness_centre,Fitness Center,,Anytime Fitness,,901 Carling Avenue,,,24/7,45.3961647,-75.7118217
node,4497496811,Anytime Fitness,fitness_centre,Fitness Center,,Anytime Fitness,,96 George Street,,https://www.anytimefitness.com/,24/7,45.4274184,-75.6907726
node,4673204733,Anytime Fitness,fitness_centre,Fitness Center,fitness,Anytime Fitness,,1339 Wellington Street West,,,24/7,45.3985968,-75.7379051
node,5039724482,Anytime Fitness,fitness_centre,Fitness Center,,Anytime Fitness,,2084 Montréal Road,,,,45.4472216,-75.5937527
node,5931838131,Anytime Fitness,fitness_centre,Fitness Center,fitness,Anytime Fitness,,,,,,45.438737,-75.6779628
node,6386265336,Anytime Fitness,fitness_centre,Fitness Center,,Anytime Fitness,,119 Rue Wellington,,,,45.4263603,-75.7197408
node,6414931392,Anytime Fitness,fitness_centre,Fitness Center,,Anytime Fitness,,261 Laurier Avenue East,,,24/7,45.4265787,-75.6805636
node,12016284982,Anytime Fitness,fitness_centre,Fitness Center,,Anytime Fitness,,1250 Stittsville Main Street,,,24/7,45.2688904,-75.931059
node,13088503780,Anytime Fitness,fitness_centre,Fitness Center,,Anytime Fitness,,221 Lyon Street North,+1 613 230 8880,https://www.anytimefitness.ca/gyms/9900084/ottawa-on-k1r-7x5/,24/7,45.4168935,-75.7027231
way,619344278,AP Fitness,fitness_centre,Fitness Center,fitness,,,204 St. Patrick Street,,,,45.430189,-75.6939925
node,5838522836,AP Fitness,fitness_centre,Fitness Center,,,,195 A Bank Street,,,,45.4177588,-75.698141
node,6006182244,Arcan Taekwondo,fitness_centre,Fitness Center,,,,1886 Merivale Road,,,,45.3314361,-75.7248042
node,5912767329,Arts Martiaux Patenaude,fitness_centre,Fitness Center,martial_arts,,,117 Rue Front,,,,45.4041836,-75.8554955
way,651855657,Aruma,fitness_centre,Fitness Center,yoga,,,,,,,45.0215759,-76.3586315
node,5838522839,Astanga Yoga,fitness_centre,Fitness Center,yoga,,,200 Bank Street,,,,45.4175597,-75.6985259
node,11196626606,Astanga Yoga Ottawa,fitness_centre,Fitness Center,yoga,,,,+1-613-722-6860,https://astangaottawa.com,,45.4175414,-75.698404
node,11639382504,Athletisme Cirrus,fitness_centre,Fitness Center,,,,,,,,45.4649633,-75.7717092
node,5799345490,Bad Axe Throwing,fitness_centre,Fitness Center,axe_throwing,,,1580 Liverpool Court,,,,45.411569,-75.6243347
node,6404931135,Balance Massage Therapy & Yoga,fitness_centre,Fitness Center,yoga,,,305 Castor Street,,,,45.2607011,-75.3501606
node,5951860119,Barres & Wheels,fitness_centre,Fitness Center,fitness,,,286 Elgin Street,,,,45.4168527,-75.6897008
node,1415542336,Beaver Boxing Club,fitness_centre,Fitness Center,boxing,,,145 Spruce Street West,,,,45.4086465,-75.71646
node,6114108746,Bergeron Karate Centre,fitness_centre,Fitness Center,,,,2544 Bank Street,,,,45.3536748,-75.6413412
node,5976659117,Beyond Yoga,fitness_centre,Fitness Center,yoga,,,66 Hearst Way,,,,45.3174201,-75.8866587
node,6765212166,Bigode Martial Arts & Fitness,fitness_centre,Fitness Center,,,,571 Lacolle Way,,,,45.4895249,-75.4862324
node,5799591461,Black Widow,fitness_centre,Fitness Center,,,,1580 Michael Street,,,,45.4109608,-75.6263745
node,7086907429,Bodhi Tree Yoga,fitness_centre,Fitness Center,yoga,,,28 Prescott Street,,,,45.0159376,-75.6458879
node,5941699899,Bodies by Phil,fitness_centre,Fitness Center,fitness,,,255 Albert Street,,,,45.4197045,-75.70119
node,5972540027,Boss Fitness Studio,fitness_centre,Fitness Center,fitness,,,,,,,45.4185523,-75.6891456
node,5731335037,Boxing 4 Health,fitness_centre,Fitness Center,boxing,,,1796 Woodward Drive,,,,45.3697744,-75.7513763
node,6319110203,Brown's Martial Arts,fitness_centre,Fitness Center,,,,105 Schneider Road,,,,45.3412081,-75.9028993
node,6720169003,Buckingham Crossfit,fitness_centre,Fitness Center,,,,,,,,45.5757526,-75.409967
node,6720062652,Buckingham Fitness,fitness_centre,Fitness Center,,,,,,,,45.5759428,-75.4078004
node,5889507831,Canadian SMA Academy,fitness_centre,Fitness Center,,,,59 Iber Road,,,,45.2802359,-75.9071224
way,233908900,Canadian Strength,fitness_centre,Fitness Center,,,,1460 Richmond Road,,,,45.3629721,-75.7895939
node,12544936179,CanAm Strength,fitness_centre,Fitness Center,,,,,,https://canamsc.com/,,45.3432997,-75.7046318
node,6071971199,Capital Strength Training Systems,fitness_centre,Fitness Center,,,,2190 Thurston Drive,,,,45.3796546,-75.6201062
node,5854194504,Capital Taekwondo,fitness_centre,Fitness Center,,,,40 Colonnade Road,,,,45.3437737,-75.7174301
way,262409064,Casselman Fit,fitness_centre,Fitness Center,,,,,,,,45.3051331,-75.0789318
node,5809664415,Catherine Fit,fitness_centre,Fitness Center,,,,138 Prescott Street,,,,45.0154816,-75.645036
way,670772454,Centre Evolution,fitness_centre,Fitness Center,martial_arts,,,74 Boulevard Gréber,,,,45.4636435,-75.7010794
node,6266576584,Champs Athletics,fitness_centre,Fitness Center,,,,1439 Youville Drive,,,,45.4645322,-75.5497306
node,5889505476,Cheer Sport Sharks,fitness_centre,Fitness Center,gymnastics,,,109 Iber Road,,,,45.2784475,-75.9043989
node,11528597072,Cheer Sport Sharks,fitness_centre,Fitness Center,gymnastics,,,,+1 888-252-4337,https://cheersportsharks.com,,45.3025374,-75.8780099
node,12236383607,Club Pilates,fitness_centre,Fitness Center,pilates,Club Pilates,,,,,,45.3965168,-75.7508677
way,471810435,Cooligan Martial Arts & Fitness,fitness_centre,Fitness Center,,,,12 Cedarow Court,,,,45.2815885,-75.9173185
node,10049027303,Core Intergrity,fitness_centre,Fitness Center,,,,,,,,45.3928065,-75.7528192
way,471898452,CrossFit,fitness_centre,Fitness Center,fitness,CrossFit,,2035 Lanthier Drive,,,,45.4568045,-75.4904595
node,5705708598,CrossFit,fitness_centre,Fitness Center,,CrossFit,,1523 Laperriere Avenue,,,,45.3778063,-75.743418
node,6135802146,Crossfit 613,fitness_centre,Fitness Center,,,,220 Terence Matthews Crescent,,,,45.2861583,-75.8753961
node,5799345494,Crossfit Actus,fitness_centre,Fitness Center,,,,1580 Liverpool Court,,,,45.4112997,-75.6241268
way,606503324,Crossfit Closer,fitness_centre,Fitness Center,,,,103 Schneider Road,,,,45.3396703,-75.9008473
node,6651660235,Crossfit DSF,fitness_centre,Fitness Center,,,,,,,,45.1413372,-76.1561778
node,6515795266,Crossfit Hintonburg,fitness_centre,Fitness Center,,,,340 Parkdale Avenue,+1-613-252-5331,https://www.crossfithintonburg.com,,45.4023119,-75.7306624
way,616787892,Crossfit Kemptville,fitness_centre,Fitness Center,,,,416 Rideau Street,,,,45.0188117,-75.6509334
node,5849340763,Crossfit NCR,fitness_centre,Fitness Center,,,,2487 Kaladar Avenue,,,,45.3746872,-75.6698303
node,6123853940,Crossfit Valeo,fitness_centre,Fitness Center,,,,74 Colonnade Road North,,,,45.3459773,-75.7120047
