ons_id,name,pop2021_total,household_count,dwellings_priv_count,census_general_total_population,census_general_percent_of_pop_that_are_children_age_0_14,census_general_percent_of_of_pop_that_are_youth_age_15_24,census_general_percent_of_pop_that_are_adults_age_25_64,census_general_percent_of_pop_that_are_seniors_65,census_general_average_age_of_the_population,census_general_median_age_of_the_population,census_general_average_after_tax_income_in_2020_among_recipients,census_general_median_after_tax_income_of_households_in_2020,census_general_average_after_tax_income_of_households_in_2020,census_general_unemployment_rate,census_general_percent_of_people_in_low_income_based_on_lim_at,census_general_percent_of_renter_households,census_general_percent_of_owner_households,census_general_average_monthly_shelter_costs_for_rented_dwellings,census_general_median_monthly_shelter_costs_for_rented_dwellings,census_general_average_monthly_shelter_costs_for_owned_dwellings,census_general_median_value_of_owned_dwellings,census_general_average_value_of_owned_dwellings,census_general_percent_households_spending_30_percent_or_more_of_its_income_on_shelter_costs,census_general_percent_of_households_living_in_core_housing_need,census_general_percent_of_pop_that_are_immigrants,census_general_percent_of_pop_that_are_recent_immigrants_arr_2016_2021,census_general_percent_of_pop_that_are_racialized,census_general_percent_of_pop_that_are_indigenous,census_general_percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,census_general_percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,census_general_percent_of_people_aged_25_64_with_a_bachelors_degree_or_higher,census_general_percent_of_workers_age_15_who_commute_by_car_truck_or_van,census_general_percent_of_workers_age_15_who_commute_by_public_transit,census_general_percent_of_workers_age_15_who_commute_by_walking,census_general_percent_of_workers_age_15_who_commute_by_bicycle,census_general_percent_of_workers_age_15_who_work_at_home,census_general_percent_of_workers_who_commute_for_60_minutes_and_over,walkscore_mean,bikescore_mean,crime_total,crime_person_total,crime_property_total,crime_total_per_1000pop_plus_50m_buffer,food_supermarket_num_region,food_supermarketgrocery_num_per_1000_res_plus_buffer,food_restaurant_num_region,libraries_num_region,libraries_cardholders_percent,transit_stops_num_per_region,transit_stops_num_per_1000_res_plus_buffer,transit_routes_avg_num_within_600m_walk,percent_coverage_tree_canopy_2024,percent_coverage_parkland_residential,family_docs_num_per_1000,average_distance_to_nearest_chc_km,ses_rank_order,ses_deciles,ses_quintiles,census_general_percent_of_single_detached_houses,census_general_percent_of_apartments_in_a_building_five_or_more_storeys,census_general_percent_of_row_houses,census_general_percent_of_census_families_that_are_one_parent_families,census_general_percent_of_pop_living_alone,census_general_average_household_size
3001,Airport,315,125.0,130.0,295.0,5.0847458,13.6,52.5,25.4,50.6,54.8,51600,95000,114000,6.9,12.1,8.3,91.7,,,1880.0,900000,1060000,24,18.2,34.4827586,0,19.0,6.9,15.6,71.875,50,78.9473684,0.0,10.5,0,29.6,0.0,12.765625,57.4375,101.0,13,70,,1.0,,8.0,0,13.9,38,,0.5,27.6,16.26,,4.6,84,8.0,4.0,100,0,0,19.0,8.5,2.4
3002,Alta Vista,7765,3055.0,3190.0,7775.0,16.2700965,13.0,51.3,19.5,42.4,43.6,64000,115000,131200,8.6,5.0,21.1,78.6,1580,1470,1866.0,800000,890000,12.8289474,4.7,20.6430868,2.6366559,21.9,1.0,3.4,84.4416562,69.3851945,75.6232687,6.6,10.0,3.0470914,53.0,1.9,36.78,77.97,243.0,49,184,39.3,0.0,0.1,3.0,1,30.5,74,11.97681906,7.2,33.9,18.35,1.7,1.7,14,2.0,1.0,79.9019608,6.2091503,0.8169935,10.1,8.4,2.5
3003,Bayshore,14340,5745.0,6000.0,14255.0,18.1339881,14.2,54.3,13.4,37.0,33.2,37600,64000,72700,16.3,17.6,75.6,24.4,1328,1350,1302.0,400000,448000,29.0605795,24.1,41.4591371,13.4689583,60.5,2.8,12.6,67.2056921,41.461837,68.7277051,22.9,4.9,0.8323424,31.3,7.7,35.54,80.01,449.0,110,302,35.0,1.0,0.1,2.0,0,17.0,60,5.020920502,16.6,17.2,11.03,0.1,2.4,104,10.0,5.0,8.8209607,57.3799127,23.6681223,27.3,12.6,2.5
3004,Beacon Hill South - Cardinal Heights,7745,3220.0,3320.0,7700.0,16.4285714,11.9,53.0,18.8,41.3,40.0,43720,73500,84000,11.4,11.2,31.8,68.1,1364,1300,1372.0,400000,427200,23.3281493,16.1,32.4675325,9.9350649,41.8,3.5,11.2,67.5245098,37.1323529,67.7345538,21.3,6.9,0.9153318,35.7,7.6,51.56,65.4,529.0,95,386,69.7,1.0,0.1,6.0,1,27.0,52,8.650742414,10.8,18.8,10.26,0.9,1.8,89,9.0,5.0,24.378882,21.4285714,27.9503106,22.5,13.3,2.4
3005,Beaverbrook,6680,2785.0,2835.0,6780.0,16.3716814,11.9,49.8,22.1,43.3,44.0,52100,89000,101400,10.4,8.5,26.5,73.5,1516,1600,1456.0,500000,576500,18.9090909,11.0,26.5682657,6.5682657,26.1,3.0,4.5,78.3382789,50.7418398,78.913738,10.2,5.1,2.5559105,48.4,5.4,28.96,72.47,107.0,21,77,16.6,0.0,0.0,2.0,1,33.1,47,7.784431138,9.0,28.5,22.21,1.3,4.6,69,7.0,4.0,31.5884477,9.7472924,50.5415162,20.9,10.5,2.5
3006,Beechwood Cemetery,,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.4,78.5,,,,,0.0,,0.0,0,,5,,1.0,41.6,0,,,,,,,,,,,
3007,Bells Corners East,5220,2095.0,2140.0,5005.0,13.8861139,9.8,54.7,21.9,45.1,47.6,47200,83000,92600,10.6,5.8,15.3,84.3,1540,1550,1225.0,500000,504400,13.4117647,7.8,17.8,2.8,17.4,3.7,7.9,73.2600733,37.9120879,82.6388889,9.4,6.3,0,38.7,3.8,33.79,54.11,233.0,27,190,47.9,3.0,0.6,15.0,1,23.3,40,8.812260536,4.7,32.5,8.69,1.5,6.1,62,6.0,3.0,54.5882353,0,29.6470588,15.6,12.0,2.4
3008,Bells Corners West,4330,1845.0,1890.0,4155.0,15.7641396,10.5,57.3,16.7,41.2,39.6,43040,74000,81000,10.1,10.2,29.0,71.0,1240,1300,1336.0,400000,422400,19.0082645,13.6,24.0673887,4.5728039,27.9,3.2,10.9,64.2105263,28.2105263,77.0318021,11.3,7.1,0.7067138,33.7,6.7,26.12,58.08,123.0,32,79,29.8,1.0,0.2,6.0,0,23.1,34,9.699769053,5.3,17.2,9.83,0.2,5.5,87,8.0,4.0,18.4065934,3.5714286,62.9120879,29.9,14.2,2.3
3009,Billings Bridge - Heron Park,6065,2980.0,3325.0,5875.0,11.7446809,17.4,53.4,17.6,40.1,34.4,39280,55200,67100,12.8,23.1,67.8,32.3,1129,1120,1404.0,552000,576000,27.8246206,18.8,27.7683135,6.132879,38.3,3.9,8.8,75.1196172,48.3253589,66.0493827,21.0,8.0,0.617284,42.6,3.7,57.27,85.45,404.0,86,294,117.6,3.0,0.7,11.0,0,21.9,55,12.0362737,13.8,21.9,44.17,3.6,1.4,99,10.0,5.0,17.6470588,40.1680672,7.394958,24.9,21.8,2.0
3010,Blackburn Hamlet,8255,3175.0,3230.0,8040.0,18.2835821,10.4,50.4,20.9,42.3,42.8,51300,90000,102000,9.3,6.8,24.0,76.0,1304,1310,1426.0,552000,562500,14.3987342,10.1,16.6666667,2.7363184,19.6,3.0,8.0,72.8395062,42.345679,78.271028,12.9,5.6,0.7009346,42.8,3.7,33.32,51.35,167.0,38,121,30.6,1.0,0.1,2.0,1,29.4,57,7.63173834,4.0,34.9,9.78,0.6,6.2,66,7.0,4.0,43.8485804,9.148265,40.0630915,18.9,8.8,2.5
