ONS_ID,NAME,NAME_FR
60,Lebreton Development,Développement Lebreton
71,Notre-Dame Cemetery,Cimetière Notre-Dame
77,Orléans Industrial,Orléans Industriel
51,Hunt Club South Industrial,Hunt Club Sud Industriel
951,Stittsville,Stittsville
952,Stonebridge - Half Moon Bay - Heart's Desire,Stonebridge - Half Moon Bay - Heart's Desire
944,Richmond,Richmond
922,Fitzroy,Fitzroy
29,Constance Bay,Baie Constance
916,Cumberland,Cumberland
67,Munster - Ashton,Munster - Ashton
85,Marlborough,Marlborough
30,Corkery,Corkery
930,Kinburn,Kinburn
70,North Gower - Kars,North Gower - Kars
64,Manotick,Manotick
81,Osgoode - Vernon,Osgoode - Vernon
66,Metcalfe,Metcalfe
918,Edwards - Carlsbad Springs,Edwards - Carlsbad Springs
925,Greely,Greely
955,Vars,Vars
936,Navan - Sarsfield,Navan - Sarsfield
35,Dunrobin,Dunrobin
911,Carp,Carp
901,Bayshore - Belltown,Bayshore - Belltown
926,Greenbelt,Ceinture de Verdure
86,Pineview,Pineview
907,Brookside - Briarbrook - Morgan's Grant,Brookside - Briarbrook - Morgan's Grant
937,Old Barrhaven East,Old Barrhaven Est
921,Findlay Creek,Findlay Creek
941,Parkwood Hills - Stewart Farm,Parkwood Hills - Stewart Farm
920,Fallingbrook,Fallingbrook
909,Cardinal Creek,Cardinal Creek
947,Riverview,Riverview
935,Manor Park,Manor Park
914,Chapman Mills,Chapman Mills
93,Rothwell Heights - Beacon Hill North,Rothwell Heights - Beacon Hill Nord
76,Chatelaine Village,Village Chatelaine
924,Glen Cairn - Kanata South Business Park,Glen Cairn - Parc d'Affaires Kanata-Sud
928,Kanata Lakes - Arcardia,Kanata Lakes - Arcardia
927,Hunt Club Woods - Quintarra - Revelstoke,Hunt Club Woods - Quintarra - Revelstoke
13,Bridlewood - Emerald Meadows,Bridlewood - Emerald Meadows
942,Portobello South,Portobello South
75,Chapel Hill South,Chapel Hill Sud
904,Blackburn Hamlet,Blackburn Hamlet
945,Rideau Crest - Davidson Heights,Rideau Crest - Davidson Heights
946,Riverside South - Leitrim,Riverside Sud - Leitrim
32,Crystal Bay - Lakeview Park,Baie Crystal - Parc Lakeview
906,Britannia,Britannia
908,Byward Market,Marché By
83,Old Ottawa South,Vieil Ottawa-Sud
82,Old Ottawa East,Vieil Ottawa-Est
17,Carleton University,Université Carleton
5,Beechwood Cemetery,Cimetière Beechwood
953,Vanier North,Vanier Nord
915,Convent Glen - Orléans Woods,Convent Glen - Orléans Woods
50,Hunt Club Park,Parc Hunt Club
917,East Industrial,Industriel-Est
919,Elmvale - Canterbury,Elmvale - Canterbury
