NAME,CATEGORY
6IXTY WINGS KANATA,fast_food
BURGER FACTORY,fast_food
1095,restaurant
23549 TD OTTAWA MANNED MARKET,grocery
ADRIANNA'S DEN,restaurant
AFRODEEZ FOOD & EDUCATION CORPORATION,institutional
ALADIN PLEASANT PARK SITE,institutional
AMEENZ,fast_food
AREPAS PLACE,fast_food
ATHIVE,restaurant
BAGEL ONE PLUS,bakery
BAGHLAN MARKET,grocery
BAY 'YO,ice_cream
BERRY & BRINE,restaurant
BIGBABAPIZZA,fast_food
BITE&BITE,restaurant
BLOOMING ONION,fast_food
BLOSSOM PARK,institutional
BROTHER ANDRE CATHOLIC SCHOO,institutional
BROWNS PLUS INCORPORATED,restaurant
BSE IMPORT/EXPORT,specialty_food
BUBBALOUS,fast_food
BY THE BOOK,cafe
CANAPOLA CORP,specialty_food
CANTINE JOSEE DOMINIC,fast_food
CAPITAL TREATS,bakery
CHEF RIC'S,catering
CHOI'S FOOD,fast_food
CHOWDOWN KANATA,fast_food
CIBUS,restaurant
CITE PARKWAY,institutional
CLARMELL FARMS,specialty_food
CMK FOODS,specialty_food
COLD DELIGHT,ice_cream
COMFORT CRAVINGS,restaurant
COUVENT MONT ST JOSEPH,institutional
CROFFALO,fast_food
CRUNCHY CREATIONS & SWEET EATS,bakery
CRUST AND CRATE,bakery
CUMBERLAND HUB,institutional
CUTIEPAI BAKEHOUSE,bakery
DAL BORGO,restaurant
DEFALCO'S,specialty_food
DOMAINE PERRAULT INC,specialty_food
DONNA'S FRIENDLY STORE,grocery
DOTTIES,restaurant
DOUBLE M,specialty_food
DOVE TALE COLLECTIONS,specialty_food
ELEMENTS,restaurant
ELIZABETH WYNWOOD ALTERNATIVE PROGRAM,institutional
EVERGREEN CRAFT ALES,pub
FADI'S FABULOUS FOODS,fast_food
FERME PROULX,specialty_food
FETCH LOCAL MARKET,grocery
FRANCO CITE,institutional
FRANKBERRY BAKING,bakery
GARRY J. ARMSTRONG,institutional
GARVIN BARBECUE,fast_food
GEE'S PASTRIES,bakery
GO NUTS,grocery
GOOD FOOD 2 U,fast_food
GOOD GRAZES,restaurant
GOOD TIME FOODS,fast_food
GRAVEL FOOD,fast_food
GULLY BOYS,restaurant
HAICO'S HOT SAUCE,specialty_food
HASTY TASTY,fast_food
HEALTHY PLANET,grocery
HILLCREST H.S.,institutional
HOGANS FOODS,fast_food
HOLLY'S GEM,specialty_food
HORIZON JEUNESSE,institutional
I HEART BEER LIMITED,pub
I HEART NUTS,grocery
