OSM_TYPE,OSM_ID,NAME,CATEGORY,CUISINE,BRAND,LATITUDE,LONGITUDE
node,5798967031,3 Sisters Bakeshop,bakery,,,45.3895828,-75.630375
way,738303213,3Apples Bakery,bakery,,,45.332855,-76.2901731
node,6591722040,3Cents2,bakery,,,45.3675217,-75.6621558
node,4559289298,Agop's Bakery,bakery,,,45.4314543,-75.655784
way,218815748,Al Noor Bakery,bakery,,,45.3545973,-75.806844
way,603918538,Al-Balad Bakery,bakery,,,45.298147,-75.887241
way,481899067,Al-Rayiss Bakery,bakery,,,45.3220651,-75.8319626
way,631327661,Aladdin Bakery,bakery,,,45.4581222,-75.4932903
way,618833489,Alsafi Bakery,bakery,,,45.3849371,-75.6712888
way,478533531,Anabia Cupcakery Cafe,bakery,,,45.2753386,-75.7370767
node,1415545369,Art Is In Bakery,bakery,,,45.4079395,-75.7186197
node,4742163221,Bagel -Bagel,bakery,,,45.4093831,-75.62549
node,6960963115,Baker Bob's,bakery,,,45.2256659,-76.195459
way,576873977,Bakery Ichiban,bakery,,,45.3805118,-75.6696947
node,6281320917,Batter Up,bakery,,,45.3930629,-75.7520014
node,2097417424,Beaver Tails,bakery,,BeaverTails,45.4273586,-75.6916904
node,3214920502,Beirut Boulangerie et Traiteur,bakery,,,45.4318141,-75.736001
node,6427086063,Boucherie Greber,bakery,,,45.4799778,-75.7005604
way,473653346,Boulangerie aux Deux Freres,bakery,,,45.3949425,-75.841898
node,6018229226,Boulangerie Dans Un Village,bakery,,,45.5032369,-75.8105862
way,428824550,Boulangerie Pan Caliente,bakery,,,45.436465,-75.7332866
node,6287480490,Boulangerie St Method,bakery,,,45.4846201,-75.6332195
way,246860640,Bread & Roses Bakery,bakery,,,45.45013,-75.6515515
node,13341105174,Bread By Us,bakery,,,45.3991445,-75.7357434
node,10017179992,Britannia Bake Shop,bakery,,,45.3653928,-75.7965368
way,537538727,British Pride Bakery,bakery,,,45.2688648,-75.9312398
node,1144102576,Brown Loaf Bakery,bakery,,,45.4176088,-75.690337
node,5941699898,Cantors Bakery,bakery,,,45.4198232,-75.7009117
way,485242198,Capital Buns Bakery,bakery,,,45.353371,-75.6482616
way,668386467,Carp Bakery,bakery,,,45.3446924,-76.0379511
node,10965978389,Cheer Me Up!,bakery,,,45.3238585,-75.8299379
way,598652095,Chippers Bakery,bakery,,,45.4068506,-75.7198889
node,5631157090,Choux Atelier,bakery,,,45.4203169,-75.7010371
way,478521051,COBS Bread,bakery,,COBS Bread,45.2740729,-75.7192445
way,484963093,COBS Bread,bakery,,COBS Bread,45.4535836,-75.5083241
way,570367951,COBS Bread,bakery,,COBS Bread,45.3283286,-75.8195501
node,9795846602,COBS Bread,bakery,,COBS Bread,45.3901711,-75.7573581
node,10762000569,COBS Bread,bakery,,COBS Bread,45.2756269,-75.8742182
way,576378535,Dao Bake & Sip Cafe,bakery,,,45.352838,-75.735325
way,570820756,Delice Royal,bakery,,,45.4819242,-75.4735048
way,484228774,Delice Royale,bakery,,,45.4489405,-75.5361623
way,583792596,District Bakeshop,bakery,,,45.4459243,-75.6301012
node,4243522193,Dolci Sapori,bakery,,,45.4081719,-75.7153402
node,11739043610,Esther's Cakes N Sweets,bakery,,,45.3857137,-75.73594
node,5700725719,Farhat's Bakery,bakery,,,45.3628986,-75.7120583
node,4176268087,Fidelice,bakery,,,45.4144282,-75.8079574
way,182249097,Fidélice,bakery,,,45.4814258,-75.6918922
node,3218052481,Fidélice,bakery,,,45.4372551,-75.7328364
node,5833589339,Fiesta Manila Bakery,bakery,,,45.3715415,-75.6653477
node,6100664539,First Bite,bakery,,,45.4268432,-75.6943135
way,545542946,Frank's Catering & Baked Goods,bakery,,,45.3242651,-75.7776425
way,684653150,Frank's Catering & Baked Goods,bakery,,,45.3626285,-75.7119481
node,6144146699,Frank's Catering and Baked Goods,bakery,,,45.3343752,-75.7089989
way,587602382,Geenie Bakery,bakery,,,45.4309564,-75.5646585
way,470022429,Gingerbread Man,bakery,,,45.2255475,-75.683151
node,5838349131,Golden Baquette Bakery,bakery,,,45.4163806,-75.6974121
way,616966939,Grahame's Bakery,bakery,,,45.0181221,-75.6462511
node,11777065343,Gutsies,bakery,,,45.4681793,-75.532223
node,5912767327,Hadalyna Bakery,bakery,,,45.4042825,-75.8555049
way,545573722,HASI Bakery,bakery,,,45.3243548,-75.7793109
way,743742887,Healthy Food Technologies,bakery,,,45.2333306,-76.1818952
node,10038118900,Hello Dolly Pastries,bakery,,,45.4055186,-75.7227886
node,2104707529,Ichiban Bakery,bakery,indian,,45.4022128,-75.6877728
way,657084211,Jasmine Bakery,bakery,,,45.3477926,-75.7863739
node,11608980718,JNJ Bakery Cafe,bakery,,,45.4393632,-75.6748307
node,3690154602,Kulture Foods,bakery,,,45.4284778,-75.7199629
node,7039218572,L'Artisan du dessert,bakery,,,45.4899046,-75.6882942
way,386974779,La Balade des Douceurs,bakery,,,45.4838771,-75.7183428
node,2104707513,La Brioche,bakery,,,45.4009948,-75.6873712
node,5750320342,La Maison du Kouign-Amann,bakery,,,45.3391491,-75.9021056
way,593922348,La Provence,bakery,,,45.2929791,-75.8941009
way,693945788,La Vieille Alliance,bakery,,,45.3948817,-75.8322972
node,600597282,Le Moulin de Provence,bakery,,,45.4280197,-75.6927075
way,418304632,Le pain d'Alain,bakery,,,45.4267861,-75.7336633
node,5833729295,Le Roi Pastry & Bakery,bakery,,,45.3742997,-75.6648494
way,578268893,Lebanese Village Bakery,bakery,,,45.372533,-75.6620468
way,485230001,Les Moulins la Fayette,bakery,,,45.2880303,-75.9049917
node,5697750384,Les Moulins La Fayette,bakery,,,45.4052843,-75.7230138
node,9634708682,Les Moulins La Fayette,bakery,,,45.4338663,-75.7985274
node,3775464838,Life of Pie,bakery,,,45.3932853,-75.6829872
node,7747287178,Luciano Foods,bakery,,,45.4085782,-75.7145185
node,2501643171,Mandy's Cafe,bakery,,,45.3880378,-75.6452908
way,576873976,Mavericks Doughnuts,bakery,,,45.3805189,-75.669619
way,578272899,Mediterranean Bakery,bakery,,,45.3734507,-75.6641514
node,9773900399,Meringue & Confettis,bakery,,,45.4294256,-75.7260624
way,349859058,Mighty Fine Bakehouse,bakery,,,45.4351621,-76.3554224
node,6573512596,Nasser Bakery,bakery,,,45.3682835,-75.7023165
node,5804014807,Nat's Bread,bakery,,,45.3764508,-75.7506533
node,5741616244,No. 70 Cake,bakery,,,45.3287733,-75.721226
way,593924252,No.70 Cake,bakery,,,45.2957799,-75.8935234
way,590258035,Olde Towne Bakery,bakery,,,45.1355548,-76.1445762
node,13341720811,Onua Bakery & Cafe,bakery,african,,45.4310627,-75.680575
node,13347819101,Orange Turtle Bakery,bakery,,,45.4314612,-75.6917609
node,3797582872,Ottawa Naan,bakery,persian,,45.4401481,-75.6749286
way,376720761,Patisserie Et Boulangerie Edde,bakery,,,45.4443145,-75.7137119
way,358272199,Pâtisserie L'Étoile,bakery,,,45.4595966,-75.7001498
node,6816047666,Petit Macrons,bakery,,,45.4455199,-75.6090624
node,7039242296,Philouze,bakery,,,45.4900871,-75.6849987
way,167221439,Pontiac Bakery,bakery,,,45.6022176,-76.4911308
way,388177545,Portuguese Bakery,bakery,regional,,45.4322098,-75.6864795
way,671009985,Premiere Moisson,bakery,,,45.4781787,-75.6886301
node,5204824793,Première moisson,bakery,,,45.4217792,-75.6836514
node,12327862666,Première Moisson,bakery,,,45.4198603,-75.807792
node,2088038888,Prince Ali Bakery,bakery,,,45.3766288,-75.6465373
node,6754681503,Savoir Fare,bakery,,,45.3495501,-75.7564006
node,2930381737,Second Avenue Sweets,bakery,,,45.4036318,-75.6893451
way,593918065,Simbad Bakery,bakery,,,45.2985824,-75.8889896
way,779125837,Strawberry Blonde Bakery,bakery,,,45.3013782,-75.9151972
node,6988507668,Strawberry Blonde Bakery,bakery,,,45.3962536,-75.7448317
node,5930606234,Sweet and Sassy,bakery,,,45.4339136,-76.3542784
way,709271129,Sweet Castle,bakery,,,45.3528649,-75.6454652
node,11461099383,Syrian Bakery,bakery,,,45.2936404,-75.8816558
way,478533530,The Baker,bakery,,,45.275362,-75.7370181
way,470248117,The Black Walnut Bakery,bakery,,,45.5179165,-75.4106795
node,7086907430,The Crusty Baker,bakery,,,45.0161224,-75.6462337
node,4456642683,The Cupcake Lounge,bakery,,,45.4285761,-75.693741
node,4458638690,The French Baker,bakery,,,45.4302344,-75.692638
way,545573738,The Joy of Gluten Free,bakery,,,45.3243031,-75.7794157
node,9278393469,The Little German Bakery,bakery,,,45.1371333,-76.1428054
way,481260072,Tizita Bakeshop,bakery,,,45.407303,-75.7089595
node,5676880042,Trillium Bakery,bakery,,,45.3922165,-75.6815324
node,4721488607,True Loaf Bread Company,bakery,,,45.4095095,-75.700639
node,8175404105,Urban Farm Girls,bakery,,,45.433963,-76.3536588
way,606501689,Voila Gluten Free Bakeree,bakery,,,45.3385539,-75.9077373
node,5838349138,Yi Rho,bakery,,,45.4161669,-75.6972304
node,4241774297,10 Fourteen,bar,,,45.404771,-75.7235095
way,584484709,107 Fourth Avenue Wine Bar & Café,bar,,,45.402665,-75.6876429
way,460395084,Absolute Comedy,bar,,,45.400791,-75.7100205
