ons_id,ons_name,cumulative_overdose_ed_visits,yearly_avg_overdose_ed_visits,yearly_rate_per_100k,years
"3001","Airport","2.2","1.1","","2020-2024"
"3002","Alta Vista","9.7","1.9","","2020-2024"
"3003","Bayshore","39","7.8","55","2020-2024"
"3004","Beacon Hill South - Cardinal Heights","18.1","3.6","49.1","2020-2024"
"3005","Beaverbrook","8","1.6","","2020-2024"
"3006","Beechwood Cemetery","0","0","","2020-2024"
"3007","Bells Corners East","10","2.5","","2020-2024"
"3008","Bells Corners West","5.2","2.6","","2020-2024"
"3009","Billings Bridge - Huron Park","34.3","6.9","118.1","2020-2024"
"3010","Blackburn Hamlet","18.9","3.8","43.7","2020-2024"
"3011","Blossom Park - Timbermill","16.7","3.3","40.5","2020-2024"
"3012","Borden Farm - Fisher Glen","6","2","","2020-2024"
"3013","Braemar Park - Bel Air Heights - Copeland Park","22","4.4","47.1","2020-2024"
"3014","Bridlewood - Emerald Meadows","9.2","2.3","","2020-2024"
"3015","Britannia","38","7.6","84","2020-2024"
"3016","Brookside - Briarbrook - Morgan's Grant","19","3.8","29","2020-2024"
"3017","Cardinal Creek","19","4.8","38.8","2020-2024"
"3018","Carleton Heights - Courtland Park","14.8","3","31.6","2020-2024"
"3019","Carleton University","1","1","","2020-2024"
"3020","Carlington","96","19.2","118.5","2020-2024"
"3021","Carp","2.9","0.6","","2020-2024"
"3022","Carson Grove - Carson Meadows","36","7.2","67.2","2020-2024"
"3023","Centrepointe","10","2.5","","2020-2024"
"3024","Centretown","202.7","40.5","126.5","2020-2024"
"3025","Chapel Hill North","20.1","4","35.3","2020-2024"
"3026","Chapel Hill South","13.1","3.3","24.2","2020-2024"
"3027","Chapman Mills","5.2","1.7","","2020-2024"
"3028","City view","7.8","2","","2020-2024"
"3029","Civic Hospital","14.1","2.8","44","2020-2024"
"3031","Constance Bay","0.6","0.1","","2020-2024"
"3032","Convent Glen - Orléans Woods","14","3.5","22.6","2020-2024"
"3033","Corkery","3.9","1","","2020-2024"
"3034","Craig Henry - Manordale","12.7","3.2","39.2","2020-2024"
"3035","Crestview - Tanglewood","26.5","5.3","60.1","2020-2024"
"3036","Crystal Bay - Lakeview Park","3","1.5","","2020-2024"
"3037","Cumberland","5.1","1.3","","2020-2024"
"3038","Dunrobin","4.1","0.8","","2020-2024"
"3039","Edwards - Carlsbad Springs","3.4","0.8","","2020-2024"
"3040","Elmvale - Canterbury","24.6","4.9","63.4","2020-2024"
"3041","Emerald Woods - Sawmill Creek","12.2","3","57.5","2020-2024"
"3042","Experimental Farm","3","0.6","","2020-2024"
"3043","Fallingbrook","13.2","3.3","18","2020-2024"
"3044","Findlay Creek","14.6","2.9","21.3","2020-2024"
"3045","Fisher Heights","8.7","1.7","","2020-2024"
"3046","Fitzroy","7.8","1.6","","2020-2024"
"3047","Glebe - Dows Lake","47.9","9.6","69.7","2020-2024"
"3048","Glen Cairn","16.7","3.3","27.3","2020-2024"
"3049","Greely","21.6","4.3","40.7","2020-2024"
"3050","Greenbelt East","67.5","13.5","","2020-2024"
"3051","Greenbelt West","2.3","1.2","","2020-2024"
"3052","Greenboro East","5.9","1.5","","2020-2024"
"3053","Greenboro West","17.2","3.4","67.6","2020-2024"
"3054","Hawthorne Meadows - Sheffield Glen","47.1","9.4","132","2020-2024"
"3055","Hintonburg - Mechanicsville","69.9","14","112.9","2020-2024"
"3056","Hunt Club Park","10.4","2.6","","2020-2024"
"3057","Industrial East","4.1","1","","2020-2024"
"3058","Iris","9","3","","2020-2024"
"3059","Island Park - Wellington Village","14.1","2.8","47.8","2020-2024"
"3060","Kanata Lakes","16","4","21.1","2020-2024"
"3061","Katimavik - Hazeldean","11.2","2.2","18.3","2020-2024"
"3062","Kinburn","2.3","0.8","","2020-2024"
"3063","Laurentian","22.2","4.4","38.5","2020-2024"
"3065","Ledbury - Heron Gate - Ridgemont","67.2","13.4","96.5","2020-2024"
"3066","Leslie Park - Bruce Farm","0.1","0","","2020-2024"
"3067","Lowertown East","72.7","14.5","194.5","2020-2024"
"3068","Lowertown West","629.8","126","1888.6","2020-2024"
"3069","Manor Park","31.1","6.2","81.7","2020-2024"
"3070","Manotick","6","1.5","","2020-2024"
"3071","Marlborough","10.5","2.1","","2020-2024"
"3072","Merivale Gardens - Grenfell Glen - Pineglen - Country Place","2.1","1.1","","2020-2024"
"3073","Metcalfe","4.1","1.4","","2020-2024"
"3074","Richmond","6","1.2","","2020-2024"
"3075","Munster - Ashton","5.5","1.4","","2020-2024"
"3076","Navan - Sarsfield","1.7","0.6","","2020-2024"
"3077","New Edinburgh","15","3","56","2020-2024"
"3078","North Gower - Kars","5.9","1.2","","2020-2024"
"3079","Old Barrhaven East","24.6","4.9","22.4","2020-2024"
"3080","Old Barrhaven West","16","3.2","13.3","2020-2024"
"3081","Old Hunt Club","34.8","7","39.9","2020-2024"
"3082","Old Ottawa East","20","5","55.9","2020-2024"
"3083","Old Ottawa South","18","3.6","55.5","2020-2024"
"3084","Orléans Industrial","2.9","2.9","","2020-2024"
"3085","Orléans Village - Chateauneuf","26","5.2","43.3","2020-2024"
"3086","Osgoode - Vernon","7.5","1.5","","2020-2024"
