OBJECTID,PARK_ID,NAME,NAME_FR,ADDRESS,ADDRESS_FR,PARK_TYPE,PARK_TYPE_FR,DOG_DESIGNATION,DOG_DESIGNATION_FR,WATERBODY_ACCESS,WARD,WARD_NAME,WARD_NAME_FR,PARK_DEDICATION_STATUS,ACCESSIBLE,OPEN,LATITUDE,LONGITUDE,SAP_FLOC,MODIFIED_DATE,CREATED_DATE,DOG_DESIGNATION_DETAILS,DOG_DESIGNATION_DETAILS_FR,Shape_Length,Shape_Area,SAP_ID,PARK_CATEGORY,PARK_CATEGORY_FR
1,674,Whiterock Park,Parc Whiterock,"1245 Matheson Road, Gloucester","1245, chemin Matheson, Gloucester",Active Recreation,Loisirs dynamiques,1,1,no/non,11,Beacon Hill-Cyrville,Beacon Hill-Cyrville,0,no/non,,45.43216449,-75.62777862,R-PKS-023-1011,1668471626000,,Dogs are allowed but must be on leash at all times. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines,859.0152982762966,20022.748956155003,1011,Neighbourhood Park,Parc de quartier
2,1573,Dr. John Hopps Park,Parc du Dr-John-Hopps,"300 Den Haag Drive, Ottawa","300, promenade Den-Haag, Ottawa",Active Recreation,Loisirs dynamiques,3,3,no/non,13,Rideau-Rockcliffe,Rideau-Rockcliffe,0,no/non,,45.44034289,-75.63224018,R-PKS-004-0259,1668471919000,,Dogs are not allowed in the park.,Les chiens ne sont pas permis dans le parc.,783.4665232357738,16652.24224059,259,Neighbourhood Park,Parc de quartier
3,1123,Upper Duck Island,Île Upper Duck,"2001 Rockcliffe Parkway, Gloucester","2001, promenade Rockcliffe, Gloucester",Passive Recreation,Loisirs passifs,1,1,yes/oui,11,Beacon Hill-Cyrville,Beacon Hill-Cyrville,9,no/non,,45.46828466,-75.62073387,R-PKS-021-0958,1668471045000,,Dogs are allowed but must be on leash at all times. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines,15858.185414298181,256981.608438,958,Greenspace,Espace vert
4,625,London Terrace Park,Parc de la terrasse London,"355 London Terrace, Ottawa","355, terrasse London, Ottawa",Active Recreation,Loisirs dynamiques,0,0,no/non,13,Rideau-Rockcliffe,Rideau-Rockcliffe,0,no/non,,45.45084871,-75.64990041,R-PKS-012-0550,1668471702000,,Dogs may be off leash. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Signifie que les chiens peuvent être en liberté. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines.,861.7830182220392,20381.90990724,550,Neighbourhood Park,Parc de quartier
5,1094,St. Germain Park,Parc St-Germain,"86 A Templeton Street, Ottawa","86 A, rue Templeton, Ottawa",Active Recreation,Loisirs dynamiques,1,1,no/non,12,Rideau-Vanier,Rideau-Vanier,0,no/non,,45.42114738,-75.67561454,R-PKS-019-0882,1668470715000,,Dogs are allowed but must be on leash at all times. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines,539.1124154142278,6777.83937393,882,Parkette,Miniparc
6,1186,Windsor Park Ottawa,Parc Windsor (Ottawa),"1B Windsor Avenue, Ottawa","1B, avenue Windsor, Ottawa",Active Recreation,Loisirs dynamiques,2,2,no/non,17,Capital,Capitale,0,no/non,,45.3941112,-75.67642008,R-PKS-023-1021,1668471309000,,"Dogs allowed most of park.  Dogs on leash along river path.  Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas, pools and tennis courts.","Chiens permis dans le parc. Chiens en laisse le long du sentier de la rivière.  Les chiens doivent toujours être sous la surveillance de leurs propriétaires et ils sont interdits à moins de 5 m des terrains de jeux, des piscines et du terrain de tennis.",1685.363895128729,41548.819709735,1021,Community Park,Parc communautaire
7,196,Stirling-Carruthers Park,Parc Stirling-Carruthers,"195 Carruthers Avenue, Ottawa","195, avenue Carruthers, Ottawa",Active Recreation,Loisirs dynamiques,3,3,no/non,15,Kitchissippi,Kitchissippi,0,no/non,,45.40522126,-75.72809162,R-PKS-003-0155,1668471376000,,Dogs are not allowed in the park.,Les chiens ne sont pas permis dans le parc.,227.83963326794373,1183.03351866,155,Urban Plaza,Place urbaine
8,41,Armstrong Park (Old Ottawa),Parc Armstrong (Vieil Ottawa),"69 Armstrong Street, Ottawa","69, rue Armstrong, Ottawa",Active Recreation,Loisirs dynamiques,3,3,no/non,15,Kitchissippi,Kitchissippi,0,no/non,,45.40557362,-75.72441459,R-PKS-001-0039,1668470967000,,Dogs are not allowed in the park.,Les chiens ne sont pas permis dans le parc.,143.4610475837833,609.33695737,39,Urban Plaza,Place urbaine
9,78,Bayview Friendship Park,Parc de l'Amitié Bayview,"128 Bayview Station Road, Ottawa","128, chemin Bayview Station, Ottawa",Active Recreation,Loisirs dynamiques,3,3,no/non,15,Kitchissippi,Kitchissippi,0,no/non,,45.40736838,-75.72384689,R-PKS-002-0066,1668472266000,,Dogs are not allowed in the park.,Les chiens ne sont pas permis dans le parc.,244.98249227807557,1311.18759484,66,Urban Plaza,Place urbaine
10,394,Lionel Britton Park,Parc Lionel-Britton,"19 Fifth Avenue, Ottawa","19, avenue Fifth, Ottawa",Active Recreation,Loisirs dynamiques,3,3,no/non,17,Capital,Capitale,0,no/non,,45.40342096,-75.6839093,R-PKS-012-0541,1668471862000,,Dogs are not allowed in the park.,Les chiens ne sont pas permis dans le parc.,176.14936156873065,955.8136368950001,541,Urban Plaza,Place urbaine
