NAME,FACILITY_TYPE,BUILDING_NAME,ADDRESS,LATITUDE,LONGITUDE,LINK
"Walkley Arena ","Arena","Jim Durrell Recreation Centre","1265 Walkley Rd","45.373351565335916","-75.65877376802476","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/jim-durrell-recreation-centre"
"Jim Peplinski Arena #1","Arena","Jim Durrell Recreation Centre","1265 Walkley Rd","45.37320221400457","-75.65849420332519","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/jim-durrell-recreation-centre"
"Ray Friel Recreation Complex Arena #3 (Market)","Arena","Ray Friel Recreation Complex","1585 Tenth Line Rd","45.47210725780023","-75.49194072766808","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/ray-friel-recreation-complex"
"Canterbury- Brian Kilrea Arena","Arena","Canterbury-Brian Kilrea Arena","2185 Arch St","45.390337762885544","-75.62875302254538","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/canterbury-recreation-complex"
"Senior's Adult Centre","Community Center","Earl Armstrong Arena","2020 Ogilvie Rd","45.43730513605599","-75.60117497778319","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/earl-armstrong-arena"
"Mel Baker Halll","Community Center","J. Alph. Dulude Arena","941 Clyde Ave","45.37472177897369","-75.74639613793045","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/ja-dulude-arena"
"Metcalfe Community Centre","Community Center","Metcalfe CC & Larry Robinson Arena","2785 8th Line Rd","45.229761807782204","-75.4687846120442","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/larry-robinson-arena"
"Richcraft Sensplex - Arena 4","Arena","Richcraft Sensplex (Ottawa East)","813 Shefford Rd","45.45769391848764","-75.590974641868","https://www.sensplex.ca/"
"Richcraft Sensplex - Arena 3","Arena","Richcraft Sensplex (Ottawa East)","813 Shefford Rd","45.45725503289229","-75.5908734394647","https://www.sensplex.ca/"
"Richcraft Sensplex - Arena 2","Arena","Richcraft Sensplex (Ottawa East)","813 Shefford Rd","45.45720027017202","-75.5911720241938","https://www.sensplex.ca/"
"Richcraft Sensplex - Arena 1","Arena","Richcraft Sensplex (Ottawa East)","813 Shefford Rd","45.45741083499492","-75.59130396245453","https://www.sensplex.ca/"
"Overbrook Community Centre","Community Center","Overbrook Community Centre","33 Quill St","45.42553129647315","-75.65680825418309","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/overbrook-community-centre"
"Wave Pool Ray Friel Cmplx","Pool - Indoor","Ray Friel Recreation Complex","1585 Tenth Line Rd","45.47218556926903","-75.4935128629586","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/ray-friel-recreation-complex"
"Fred G. Barrett East Arena","Arena","Fred G. Barrett Arena","3280 Leitrim Rd","45.331356060683596","-75.5975628493308","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/fred-barrett-arena"
"Fred G. Barrett West Arena","Arena","Fred G. Barrett Arena","3280 Leitrim Rd","45.33125032255204","-75.5981352827793","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/fred-barrett-arena"
"Pretty Street Community","Community Center","Pretty St. Community Centre - 2 Pretty Street","2 Pretty St","45.258432539078086","-75.91879636329296","https://ottawa.ca/en/recreation-and-parks/recreation-facilities#community-buildings"
"Tanglewood Park Community Centre","Community Center","Tanglewood Park Community Centre","30 Woodfield Dr","45.33660183598383","-75.73037426352829","https://ottawa.ca/en/recreation-and-parks/recreation-facilities#community-buildings"
"West Carleton Community Complx","Arena","Cavanagh Sensplex Arena","5670 Carp Rd","45.4151996071079","-76.14670664404616","https://ottawa.ca/en/business/doing-business-city/public-private-partnerships-p3s/west-carleton-community-complex"
"Minto Recreation Complex","Recreation Complex","Minto Recreation Complex","3500 Cambrian Rd","45.252771028794086","-75.73441262820995","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/minto-recreation-complex-barrhaven"
"Nepean Senior's Club","Community Center","Nepean Sportsplex","1701 Woodroffe Ave","45.32645579074471","-75.74433072064942","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-seniors-recreation-centre"
"J. Sauve School Community Centre","Community Center","J. Sauve School Community Centre","1917 Gardenway Dr","45.46551821859302","-75.48508699168201",""
"Garry Burke Rink","Arena","Tony Graham Recreation Complex - Kanata","100 Charlie Rogers Pl","45.29413452709183","-75.90161403083373","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/kanata-recreation-complex"
"Eldon Kemp Rink","Arena","Lois Kemp Arena","200 Glen Park Dr","45.43046369272614","-75.56287287570191","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/lois-kemp-arena-blackburn"
"St. Laurent Complex Pool","Pool - Indoor","St. Laurent Complex/Don Gamble Community Centre","525 Côté St","45.43648052408209","-75.64804076438374","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/st-laurent-complex"
"Arena - 2 - Allen MacDonald","Arena","Nepean Sportsplex","1701 Woodroffe Ave","45.327913844432025","-75.74490136285723","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex"
"Arena - 3 ","Arena","Nepean Sportsplex","1701 Woodroffe Ave","45.32698541090567","-75.74537105957994","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex"
"Queenswood Heights Community Centre","Community Center","Queenswood Heights Community Centre","1485 Duford St","45.47108689503752","-75.50782884112778","https://ottawa.ca/en/recreation-and-parks/recreation-facilities#community-buildings"
"Jack Purcell  CC","Community Center","Jack Purcell Community Centre","320 Jack Purcell Ln","45.41582223837389","-75.68950833818509","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/jack-purcell-community-centre"
"Agincourt Field House","Field House","Agincourt Field House","1269 Albany Dr","45.3600840291855","-75.75370611118132",""
"Hampton Park: Fieldhouse","Field House","Hampton Park: Fieldhouse","645 Parkview Rd","45.38738494373058","-75.73871624473377",""
"Gil-O-Julien Park: Fieldhouse","Field House","Gil-O-Julien Park: Fieldhouse","201 Donald St","45.42833150942319","-75.6607039511263",""
"Dempsey CC","Community Center","Dempsey CC","1895 Russell Rd","45.40258303067187","-75.6276842878687","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/dempsey-community-centre"
"Alfred Taylor REC Ctr.","Community Center","Alfred Taylor Rec Ctr.","2300 Community Way","45.13016251527015","-75.71087813859516","https://ottawa.ca/en/recreation-and-parks/halls-and-community-centres"
"Alfred Taylor Field House","Field House","Alfred Taylor Field House","2300 Community Way","45.13046896029738","-75.70916404793016","https://ottawa.ca/en/recreation-and-parks/halls-and-community-centres"
"Beacon Hill CC & Change House","Community Center","Beacon Hill CC & Change House","2130 Radford Cres","45.4589420822346","-75.59887296581589","https://ottawa.ca/en/recreation-and-parks/recreation-facilities#community-buildings"
"Tom Brown Arena","Arena","Tom Brown Arena","141 Bayview Station Rd","45.4080895356122","-75.72263445360048","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/tom-brown-arena"
"Tony Graham Recreation Complex - Kanata","Recreation Complex","Tony Graham Recreation Complex - Kanata","100 Charlie Rogers Pl","45.29424765545377","-75.90141177604585","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/kanata-recreation-complex"
"Glebe Community Centre","Community Center","Glebe Community Centre","175 Third Ave","45.40223973304507","-75.69153021412433","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/glebe-community-centre"
"Kars Recreation Centre","Community Center","Kars Recreation Centre","1604 Old Wellington St","45.14881094716246","-75.64795151226869","https://ottawa.ca/en/residents/rural-residents/rural-recreation#rural-facilities-contact-information"
"Olde Forge CC","Community Center","Olde Forge CC","2730 Carling Ave","45.35999531644282","-75.79328272322476",""
"Dale Little League Building","Field House","Dale Little League Building","235 Dale Ave","45.409349451126296","-75.65969972447017",""
"Beauregard Bunker","Field House","Beauregard Bunker","1257 Joseph Drouin Ave","45.47553566606963","-75.52476364460708",""
"New Edinburgh Park: Fieldhouse","Field House","New Edinburgh Park: Fieldhouse","203 Stanley Ave","45.43878956999112","-75.68520748487911",""
"Andy Shields Park Fieldhouse","Field House","Andy Shields Park Fieldhouse","1455 Old Prescott Rd.","45.257470128512324","-75.56567090323313","https://ottawa.ca/en/recreation-and-parks/halls-and-community-centres"
"A. Haydon Park Picnic Gazebo","Field House","A. Haydon Park Picnic Gazebo","3169 Carling Ave","45.34935952193443","-75.81965493243162",""
"Kingsmere Field House","Field House","Kingsmere Field House","2074 Benjamin Ave","45.36508724034028","-75.76238207702626",""
"Kinsella Fieldhouse","Field House","Kinsella Fieldhouse","1600 Prestwick Dr","45.46770788271454","-75.49887142412115",""
"Kenmore Fieldhouse","Field House","Kenmore Fieldhouse","3151 Yorks Corners Rd","45.23373829638964","-75.4167763073103",""
"Robert and Linda Poulsen Gymnasium","Community Center","Hunt Club-Riverside Park Community Centre","3320 Paul Anka Dr","45.35201140490796","-75.67266647620174","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/hunt-club-riverside-park-community-centre"
"Richcraft Sensplex (Ottawa East)","Recreation Complex","Richcraft Sensplex (Ottawa East)","813 Shefford Rd","45.457463446935016","-75.59073476563599","https://www.sensplex.ca/"
"Plant Bath Recreation Centre","Recreation Complex","Plant Bath Recreation Centre","930 Somerset St West","45.407997823674755","-75.71429131446662","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre"
"Plant Bath Community Centre","Community Center","Plant Bath Recreation Centre","930 Somerset St West","45.40793444616819","-75.71432897902987","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre"
"Community Centre","Community Center","Ray Friel Recreation Complex","1585 Tenth Line Rd","45.47212513387005","-75.49300440123643","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/ray-friel-recreation-complex"
"Cecil Morrison Fieldhouse","Field House","Cecil Morrison Fieldhouse","1332 Avenue N","45.41736308175571","-75.64605706414916",""
"Parkdale Park: Fieldhouse","Field House","Parkdale Park: Fieldhouse","366 Parkdale Ave","45.40162534525221","-75.73041219848443",""
"Pauline Vanier Field House","Field House","Pauline Vanier Field House","1015 Harkness Ave","45.36685910582909","-75.67630151618545",""
"Hawthorne Fieldhouse","Field House","Hawthorne Fieldhouse","2139 Tawney Rd","45.393864361946655","-75.6159828060283",""
"TD Place Arena","Arena","Lansdowne Park Complex: TD Place","1015 Bank St","45.39911177341789","-75.68423286040655","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/lansdowne-park"
"Carson Grove Park Fieldhouse","Field House","Carson Grove Park Fieldhouse","1423 Matheson Rd","45.43693781660411","-75.62171840538694",""
"Heritage Park Field House","Field House","Heritage Park Fieldhouse Storage","6160 Orleans Blvd","45.453100867849045","-75.53593698353575",""
"Alta Vista Field House","Field House","Alta Vista Field House","1309 Randall Ave","45.383250722744386","-75.66644848962034",""
"Crystal Bay Fieldhouse","Field House","Crystal Bay Fieldhouse","152 Grandview Rd","45.36106421096294","-75.85683399937224",""
"J.G. Mlacak Seniors Centre","Community Center","John G Mlacak Centre","2500 Campeau Dr","45.321230810805034","-75.89629333455872","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/john-g-mlacak-community-centre"
"J.G. Mlacak  Arena","Arena","John G Mlacak Centre","2500 Campeau Dr","45.32116180542752","-75.89547128085233","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/john-g-mlacak-community-centre"
"Jack Purcell Pool","Pool - Indoor","Jack Purcell Community Centre","320 Jack Purcell Ln","45.41565833699878","-75.68958770434045","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/jack-purcell-community-centre"
"Richmond Community Centre","Community Center","Richmond Arena & CC","6095 Perth St","45.195490537782185","-75.83777826721892","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/richmond-arena"
"Rideauview Community Centre","Community Center","Rideauview Community Centre","4310 Shoreline Rd","45.277374449961805","-75.68740011797742","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/rideauview-community-centre"
"Sandy Hill Arena","Arena","Sandy Hill Arena","60 Mann Ave","45.419646241331165","-75.67419761507765","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/sandy-hill-arena"
"Sawmill Creek Community Centre","Community Center","Sawmill Creek Pool and Community Centre","3380 D'Aoust Ave","45.34992546582935","-75.63643877365601","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/sawmill-creek-community-centre-and-pool"
"Mantha Park Fieldhouse","Field House","Mantha Park Fieldhouse","525 Famille-Laporte Ave","45.501383833646955","-75.46692040211545",""
"Bel Air Park Fieldhouse","Field House","Bel Air Park Fieldhouse","2149 Berwick Ave","45.35725075840005","-75.76249393524544",""
"Jasmine Fieldhouse","Field House","Jasmine Fieldhouse","2040 Jasmine Cres","45.44098374946312","-75.59340563124884",""
"Weston Field House","Field House","Weston Field House","955 Pleasant Park Rd","45.395686212123024","-75.62541899453863",""
"Hornet's Nest Fieldhouse","Field House","Hornet's Nest Fieldhouse","1660 Bearbrook Rd","45.44276250439542","-75.57603923578455",""
"Kars Washroom Canteen & Storage Bldng","Field House","Kars Washroom Canteen & Storage Bldng","1604 Old Wellington St","45.15030714001157","-75.64922461277418",""
"Raven Field House","Field House","Raven Field House","1500 Larose","45.376361149458056","-75.74031848885767",""
"Village Green Park Chalet","Field House","Village Green Park Chalet","270 Springfield Rd","45.44885960382175","-75.67713265724925",""
"Brewer Park Arena","Arena","Brewer Park Arena","151 Brewer Way","45.38925163655741","-75.69050647067034","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/brewer-pool-and-arena"
"Cummings Fieldhouse Storage","Field House","Cummings Fieldhouse Storage","1060 Cummings Ave","45.4309835668142","-75.63543905744092",""
"Woodroffe Park: Fieldhouse","Field House","Woodroffe Park: Fieldhouse","180 Lockhart Ave","45.37635018361472","-75.77244001110432",""
"Fairlea Park Field House","Field House","Fairlea Park Field House","2989 Fairlea Cres","45.37675248631459","-75.64015139035102",""
"March Central CC","Community Center","March Central Community Centre","630 Cameron Harvey Dr","45.37686634326373","-75.95535858767069","https://ottawa.ca/en/health-and-public-safety/ottawa-fire-services/about-ottawa-fire-services#fire-station-locations"
"Fitzroy Harbour CC","Community Center","Fitzroy Harbour CC","100 Clifford Campbell St","45.47013530104968","-76.20625796927015","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/brewer-pool-and-arena"
"CardelRec Recreation Complex (Goulbourn) Pool","Pool - Indoor","CardelRec Recreation Complex (Goulbourn)","1500 Shea Rd","45.2637175977562","-75.90789679852352","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/cardelrec-recreation-complex-goulbourn"
"Diane Deans Greenboro Community Centre","Community Center","Diane Deans Greenboro Community Centre","363 Lorry Greenberg Dr","45.36346008046803","-75.63560372312409","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/greenboro-community-centre"
"Hintonburg Community Centre","Community Center","Hintonburg Community Centre","1064 Wellington St","45.40358535700564","-75.72429605839838","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/hintonburg-community-centre"
"Ottawa South Community Centre","Community Center","Ottawa South Community Centre","260 Sunnyside Ave","45.394673160589946","-75.681816704906","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/ottawa-south-community-centre"
"Barbara Ann Scott Arena","Arena","Pinecrest Recreation Complex","2250 Torquay Ave","45.34783005621103","-75.77324431679563","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/pinecrest-recreation-complex"
"Claudette Cain Field House","Field House","Claudette Cain Field House","660 River Rd","45.271438789827386","-75.69954675456697",""
"Balena Park Field House","Field House","Balena Park Field House","1640 Devon St","45.40534902437101","-75.6433071997919",""
"Marsha Park Fieldhouse","Field House","Marsha Park Fieldhouse","855 Lawnsberry Dr","45.48563866477028","-75.5122377770338",""
"Leitrim Football Fieldhouse","Field House","Leitrim Football Fieldhouse","3280 Leitrim Rd","45.331089462971285","-75.59523677149704",""
"Norman Johnston Field House","Field House","Norman Johnston Field House","2401 Cleroux Cres","45.43701347339169","-75.54906721337765",""
"Strathcona Park: Fieldhouse","Field House","Strathcona Park: Fieldhouse","25 Range Rd","45.42939112531397","-75.6726889727114",""
"Sylvia Holden Park: Fieldhouse","Field House","Sylvia Holden Park: Fieldhouse","641 O'Connor St","45.40248487700916","-75.68235559526178",""
"Dutchys Hole Park: Field House","Field House","Dutchys Hole Park: Field House","154 Mann Ave","45.42059210658873","-75.66782717720601",""
"Country Place Fieldhouse","Field House","Country Place Fieldhouse","83 Amberwood Cres","45.32063723131512","-75.707555412293",""
"Blackburn Community Hall","Community Center","Blackburn Community Hall","190 Glen Park Dr","45.42964488911294","-75.56343364183151","https://ottawa.ca/en/recreation-and-parks/halls-and-community-centres"
"Brewer Park Cmplx Pool","Pool - Indoor","Brewer Park Cmplx Pool","100 Brewer Way","45.38936085097343","-75.69191557161827","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/brewer-pool-and-arena"
"Foster Farm Community Centre","Community Center","Foster Farm CC & Day Care Facility","1065 Ramsay Cres","45.34973338203128","-75.79457892390779","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/foster-farm-community-centre"
"Rideauview Park: Field House","Field House","Rideauview Park: Field House","960 Eiffel Ave","45.368048813836374","-75.70687025285277",""
