id,name,avgRent,rentSource,notes
the-glebe,The Glebe,2150,Zumper Dec 2024,"Average apartment rent, 17% decrease YoY"
old-ottawa-east,Old Ottawa East,1950,Estimated from nearby 2025,"Canal-adjacent, similar to Glebe area"
westboro,Westboro,2274,Zumper Feb 2025,"Median rent, 15% higher than national average"
byward-market,Byward Market,1900,RentCafe 2025,"Studio $1,200-$1,745, 1-bed $1,411-$2,443, mixed housing"
centretown,Centretown,1800,Apartments.com 2025,"Central location, mix of high-rises and townhouses"
old-ottawa-south,Old Ottawa South,2300,CLVGroup 2025,"Heritage homes, $2,300-$7,200 range for larger units"
riverside-park,Riverside Park,1750,Estimated 2025,"More affordable, near Mooney's Bay"
hintonburg,Hintonburg,1900,RentCafe 2025,"Gentrifying area, increasing rental supply"
wellington-village,Wellington Village,2100,Estimated from Westboro 2025,"Island Park area, premium west end"
kanata,Kanata,2200,RochStGeorges 2025,"Tech hub, 2-bed townhomes $2,400"
stittsville,Stittsville,2100,Estimated 2025,"Suburban family area, townhomes prevalent"
alta-vista,Alta Vista,1800,CLVGroup 2025,"Mid-range neighbourhood, near hospitals"
sandy-hill,Sandy Hill,1700,CLVGroup 2025,"Near uOttawa, student market, mid-range pricing"
orleans,Orleans,2100,RochStGeorges 2025,"Family-oriented suburb, 3-bed $2,750"
barrhaven,Barrhaven,2200,RochStGeorges 2025,"Half Moon Bay 2-bed $2,400, suburban family area"
bayshore,Bayshore,1850,Estimated 2025,"LRT access area, affordable west end"
bells-corners,Bells Corners,1700,Estimated 2025,"Affordable suburban, new development underway"
carlington,Carlington,1600,CLVGroup 2025,"1-bed basement $1,600, affordable central option"
hunt-club,Hunt Club,1700,RentCafe 2025,"1-bed $1,464-$1,624, 2-bed $1,744-$1,974"
riverside-south,Riverside South,2200,Estimated 2025,"New development area, growing suburb"
manotick,Manotick,2500,REALTOR.ca 2025,"Limited rentals, primarily home sales market"
vars,Vars-Navan,1900,Estimated 2025,"Rural area, limited rental market data"
carp,Carp,2100,Estimated 2025,"Rural village, limited rentals available"
constance-bay,Constance Bay,2200,Estimated 2025,"Waterfront, mostly vacation rentals"
richmond,Richmond,2000,Estimated 2025,"Rural village, limited rental market"
metcalfe,Metcalfe-Osgoode,1800,Estimated 2025,"Rural area, very limited rental market"
nepean,Nepean,1850,Estimated from area 2025,"Mixed areas from Centrepointe to South Keys"
merivale,Merivale,1800,Estimated 2025,"Merivale Gardens area, similar to Nepean"
vanier,Vanier,1600,CLVGroup 2025,"Most affordable near downtown, gentrifying"
new-edinburgh,New Edinburgh,2200,CLVGroup 2025,"Historic charm, expensive neighbourhood"
pineview,Pineview,1800,Estimated 2025,"East end, 67% own vs 33% rent"
cyrville,Cyrville,1500,Zumper 2025,"Apartments from $1,399; most affordable east end"
findlay-creek,Findlay Creek,2400,Estimated 2025,"New development, 80% own vs 20% rent, mostly houses"
greely,Greely,2500,Estimated 2025,"Very limited rentals, 94% homeowners, rural estate homes"
north-gower,North Gower,2000,Estimated 2025,"Very limited rentals, rural village"
dunrobin,Dunrobin,2200,Estimated 2025,"Very limited rentals, rural Ottawa River area"
belair-heights,Bel Air Heights,1750,Estimated 2025,"Suburban area near Algonquin College"
kanata-lakes,Kanata Lakes,2400,RochStGeorges 2025,"Premium Kanata area, 2-bed townhome $2,400"
bridlewood,Bridlewood,2200,Estimated 2025,"Family-friendly Kanata neighbourhood"
beaverbrook,Beaverbrook,2000,Estimated 2025,"Oldest Kanata neighbourhood, mature area"
blackburn-hamlet,Blackburn Hamlet,1900,Estimated 2025,"Village feel, greenbelt adjacent"
rockcliffe-park,Rockcliffe Park,3000,Estimated 2025,"Ottawa's wealthiest, very limited rentals"
manor-park,Manor Park,2000,Estimated 2025,"Near downtown, green spaces"
centrepointe,Centrepointe,1900,Estimated 2025,"Established Nepean neighbourhood"
greenboro,Greenboro,1700,Estimated 2025,"South end, mix of housing types"
south-keys,South Keys,1700,Estimated 2025,"LRT access, affordable south end"
lowertown,Lowertown,1800,Estimated 2025,"Downtown adjacent, historic area"
overbrook,Overbrook,1650,Estimated 2025,"East central, affordable option"
chapel-hill,Chapel Hill,2100,Estimated 2025,"Orleans area, family neighbourhood"
fallingbrook,Fallingbrook,2200,Estimated 2025,"Orleans premium area"
half-moon-bay,Half Moon Bay,2400,RochStGeorges 2025,"Barrhaven, 2-bed townhome $2,400"
civic-hospital,Civic Hospital,2100,RochStGeorges 2025,"3-bed upper unit $2,550"
dows-lake,Dows Lake,2000,Estimated 2025,"Little Italy adjacent, 1-bed condo $1,800"
