OBJECTID,BOARD,CATEGORY,NAME,NUM,STREET,PHONE,FULL_BOARD,CATEGORY_FR,BOARD_FR,NAME_FR,FULL_BOARD_FR,GlobalID,LONGITUDE,LATITUDE
4801,OCSB,Elementary/Secondary,St. Peter High School,750,boul. Charlemagne Blvd,613-837-9377,Ottawa Catholic School Board,Élémentaire/Secondaire,OCSB,École secondaire St. Peter,Ottawa Catholic School Board,{DF5542B8-439D-4E71-B1E3-DA63BEC2D36F},-75.47696382929996,45.47515567411176
4802,OCSB,Elementary,St. Andrew School,201,prom. Crestway Dr,613-843-0050,Ottawa Catholic School Board,Élémentaire,OCSB,École St. Andrew,Ottawa Catholic School Board,{625E7531-78D3-4D13-B8AC-95630367061F},-75.7090038073481,45.284770197188166
4803,OCSB,Elementary/Secondary,Holy Trinity Catholic High School,180,ch. Katimavik Rd,613-591-9955,Ottawa Catholic School Board,Élémentaire/Secondaire,OCSB,École secondaire catholique Holy Trinity,Ottawa Catholic School Board,{01D02F61-3450-4155-8CE4-98F819B2B17D},-75.90165941192525,45.30807427025535
4804,OCSB,Elementary,St. Thomas More School,1620,prom. Blohm Dr,613-739-7131,Ottawa Catholic School Board,Élémentaire,OCSB,École St. Thomas More,Ottawa Catholic School Board,{E052CC8D-6F6E-4A31-B32F-82D93096DC61},-75.60619510944224,45.374728614365544
4805,OCSB,Elementary,Assumption School,236,rue Lévis St,613-746-4822,Ottawa Catholic School Board,Élémentaire,OCSB,École Assumption,Ottawa Catholic School Board,{FF6D3BD4-7CA2-4DA4-BE02-FAE593BCB002},-75.66004221166382,45.43506256491582
4806,OCSB,Elementary,St. Kateri Tekakwitha School,6400,prom. Beausejour Dr,613-830-2454,Ottawa Catholic School Board,Élémentaire,OCSB,École St. Kateri Tekakwitha,Ottawa Catholic School Board,{FDA11B79-D80A-4C13-86CF-FB6EA97EE627},-75.5234928662466,45.4585245604862
4807,OCSB,Elementary,St. Emily School,500,prom. Chapman Mills Dr,613-825-4300,Ottawa Catholic School Board,Élémentaire,OCSB,École St.Emily,Ottawa Catholic School Board,{B97F0F69-D34B-49EB-8854-457B3060B737},-75.72465522910348,45.271498955800446
4808,OCSB,Elementary,St. George School,130,av. Keyworth Ave,613-728-8291,Ottawa Catholic School Board,Élémentaire,OCSB,Écoel St. George,Ottawa Catholic School Board,{D845D907-EA75-4C77-8D6E-4134E0ACC464},-75.74785927433933,45.404609487266086
4809,OCSB,Elementary,St. Leonard School,5344,ch. Long Island Rd,613-692-3521,Ottawa Catholic School Board,Élémentaire,OCSB,École St. Leonard,Ottawa Catholic School Board,{DD28EC3D-1BEF-4EC4-93F9-60ABBE91BC6A},-75.69158049732235,45.237245179062484
4810,OCSB,Elementary,St. Philip School,79,rue Maitland St. S,613-838-2466,Ottawa Catholic School Board,Élémentaire,OCSB,École St. Philip,Ottawa Catholic School Board,{C1E36174-042F-4E2B-80DB-FDE62D642FC8},-75.8358708887492,45.18524249753278
4811,OCSB,Elementary,St. Stephen School,1145,rue Stittsville Main St,613-831-8844,Ottawa Catholic School Board,Élémentaire,OCSB,École St. Stephen,Ottawa Catholic School Board,{8C5AA105-EA68-491F-936A-5B835CB83403},-75.93129014573921,45.274682292864675
4812,OCSB,Elementary,St. Rita School,1,av. Inverness Ave,613-224-6341,Ottawa Catholic School Board,Élémentaire,OCSB,École St. Rita,Ottawa Catholic School Board,{C2FB8194-7925-41E9-8B61-34363B0675DB},-75.7112775780795,45.359930402405666
4813,OCSB,Elementary,St. Augustine School,1009,rue Arnot St,613-225-8020,Ottawa Catholic School Board,Élémentaire,OCSB,École St. Augustine,Ottawa Catholic School Board,{CEB745DD-F188-4B29-B2CC-3AE7508CF119},-75.71178714742442,45.368294274619885
4814,OCSB,Elementary/Secondary,St. Mark High School,1040,ch. Dozois Rd,613-692-2551,Ottawa Catholic School Board,Élémentaire/Secondaire,OCSB,École secondaire St. Mark ,Ottawa Catholic School Board,{6A3F6F93-0B23-418D-8590-6F4900082A59},-75.64857939602473,45.24401221636838
4815,OCSB,Elementary,St. Isidore School,1105,ch. March Rd,613-592-1798,Ottawa Catholic School Board,Élémentaire,OCSB,École St. Isidore,Ottawa Catholic School Board,{F697A97B-5EE9-4268-BF6D-F8953832A0CE},-75.94915305533239,45.36709827507132
4816,OCSB,Elementary,Blessed Carlo Virtual School,570,ch. West Hunt Club Road,613-695-0562,Ottawa Catholic School Board,Élémentaire,OCSB,École virtuelle Blessed Carlo,Ottawa Catholic School Board,{20A3ED4A-9E90-42DE-8D8E-2881468B5C8A},-75.72740329772847,45.33271351894881
4817,OCSB,Secondary,St. Josephine Virtual High School,570,ch. West Hunt Club Road,613-695-3127,Ottawa Catholic School Board,Secondaire,OCSB,École secondaire virtuelle St. Josephine,Ottawa Catholic School Board,{B87CD216-6D4E-486A-87F2-9B10CA4F3EAF},-75.72748762348253,45.33273022037334
4818,OCSB,Elementary,St. Elizabeth Ann Seton School,41,prom. Weybridge Dr,613-825-3596,Ottawa Catholic School Board,Élémentaire,OCSB,École St. Elizabeth Ann Seton,Ottawa Catholic School Board,{F7C0342B-8929-4A7A-BD8B-A192232750F2},-75.769471989982,45.27111617367244
4819,OCSB,Elementary,St. Marguerite d'Youville School,89,prom. Lorry Greenberg Dr,613-737-1141,Ottawa Catholic School Board,Élémentaire,OCSB,École St. Margureite d'Youville,Ottawa Catholic School Board,{00FF81B4-C0E1-4E5B-B5EE-46856CB99CF5},-75.62541191222094,45.367628281914236
4820,OCSB,Elementary,St. Gregory School,148,rue Meadowlands Dr W,613-224-3011,Ottawa Catholic School Board,Élémentaire,OCSB,École St. Gregory,Ottawa Catholic School Board,{AB51E13F-7907-4B68-BCBD-244FB713E69F},-75.75105305017739,45.343687230587975
4821,OCSB,Elementary,St. Anne School,500,prom. Stonehaven Dr,613-271-0308,Ottawa Catholic School Board,Élémentaire,OCSB,École St. Anne,Ottawa Catholic School Board,{70044D9B-CA80-41B3-A1CE-C646F2007B73},-75.84411139805681,45.28215060998762
4822,OCSB,Secondary,All Saints High School,5115,av. Kanata Ave,613-271-4254,Ottawa Catholic School Board,Secondaire,OCSB,École secondaire All Saints,Ottawa Catholic School Board,{053210E3-02B9-4C81-978B-23865AA5ED3D},-75.92494938910289,45.32178782739146
