COURT_TYPE,SPORT_TYPE,NAME,PARK_NAME,ADDRESS,LATITUDE,LONGITUDE,FIELD_SIZE,LIGHTS,ACCESSIBLE,WARD
"Ball Diamond","ball_diamond","Ball Diamond - Softball","Navan Centennial Park","3591 Wickham Court","45.42001522001903","-75.4232109262157","","yes/oui","no/non",""
"Ball Diamond","ball_diamond","T-Ball","Princess Louise Park","550 Princess Louise Drive, Cumberland","45.48234842477214","-75.49454836356303","","no/non","no/non",""
"Ball Diamond","ball_diamond","Ball Diamond","Four Seasons Park","4386 Spratt Road, Gloucester","45.275328359583234","-75.69074910203531","","no/non","no/non",""
"Ball Diamond","ball_diamond","Ball Diamond","Frank J. Licari Park","1990 Cochrane Street / 1274 Vancouver Avenue, Ottawa","45.36821842729785","-75.65806152437871","","no/non","no/non",""
"Ball Diamond","ball_diamond","Ball Diamond 03","Carlington Park","937 Clyde Avenue, Ottawa","45.375526537197054","-75.7437911538622","","yes/oui","no/non",""
"Ball Diamond","ball_diamond","Ball Diamond - Baseball","Gardenway Park","2001 Gardenway Drive, Cumberland","45.46632138886186","-75.48283627351744","","no/non","no/non",""
"Ball Diamond","ball_diamond","Graham Ball Softball Diamond","Graham Ball Softball Diamond","89 Castlefrank Road, Kanata","45.29343737969493","-75.88292135819239","","yes/oui","no/non",""
"Ball Diamond","ball_diamond","Ball Diamond","Trèva Cousineau Park","1756 Grey Nuns Drive, Gloucester","45.46913084366872","-75.53510131496292","","no/non","no/non",""
"Ball Diamond","ball_diamond","Ball Diamond 02","Harkness Park","6020 Piperville Road, Gloucester","45.3649117680252","-75.46321068248722","","no/non","no/non",""
"Ball Diamond","ball_diamond","Ball Diamond 03 (Minors)","Andy Shields Park","1448 Meadow Drive","45.25785607267269","-75.563677043951","","yes/oui","no/non",""
"Ball Diamond","ball_diamond","#3 Baseball","Brewer Park","100 Brewer Way, Ottawa","45.38655545940983","-75.68892639067943","","yes/oui","no/non",""
"Ball Diamond","ball_diamond","Ball Diamond 02","Dumaurier Park","2850 Dumaurier Avenue, Ottawa","45.35050782815319","-75.79269095353978","","yes/oui","no/non",""
"Ball Diamond","ball_diamond","Ball Diamond A - Baseball North","Tauvette Park","2436 Innes Road, Gloucester","45.42791999299958","-75.57304979253765","","no/non","no/non",""
"Ball Diamond","ball_diamond","Ball Diamond","Blackburn Park","180 - 190 Glen Park Drive, Gloucester","45.42988039603794","-75.56211100193305","","yes/oui","no/non",""
"Ball Diamond","ball_diamond","Ball Diamond 01 - Minor Baseball","Britannia Park","2805 Carling Avenue","45.35885962943428","-75.798265402323","","no/non","no/non",""
"Ball Diamond","ball_diamond","Ball Diamond 02","Britannia Park","2805 Carling Avenue","45.360011773119695","-75.79722988375225","","yes/oui","no/non",""
"Ball Diamond","ball_diamond","#1 Softball","Brewer Park","100 Brewer Way, Ottawa","45.38592299769327","-75.68989783691251","","yes/oui","no/non",""
"Ball Diamond","ball_diamond","Ball Diamond","Elizabeth Manley Park","1161 Blohm Drive, Ottawa","45.36997909825685","-75.61860733923375","","no/non","no/non",""
"Ball Diamond","ball_diamond","Ball Diamond","Fallingbrook Park","681 Deancourt Crescent, Cumberland","45.48152327017951","-75.48915715762304","","yes/oui","no/non",""
"Ball Diamond","ball_diamond","Ball Diamond","Russell Boyd Park","1735 St. Bernard Street, Gloucester","45.352699028662215","-75.62579361716496","","no/non","no/non",""
"Ball Diamond","ball_diamond","Ball Diamond 01","Pauline Vanier Park","1015 Harkness Avenue, Ottawa","45.3676812009746","-75.67705341326476","","no/non","no/non",""
"Ball Diamond","ball_diamond","Ball Diamond","Riverview Park","256 Knox Crescent, Ottawa","45.40515771908581","-75.65578866813226","","no/non","no/non",""
"Ball Diamond","ball_diamond","Hamilton Yards Baseball Diamond","Nepean Sportsplex Park","1701 Woodroffe Avenue, Nepean","45.32621282383218","-75.74360732262247","","yes/oui","no/non",""
"Ball Diamond","ball_diamond","Ball Diamond 02","Ottawa Business Park","3035 Conroy Road, Ottawa","45.3824928682629","-75.61805077632137","","no/non","no/non",""
"Ball Diamond","ball_diamond","Ball Diamond 01","Ottawa Business Park","3035 Conroy Road, Ottawa","45.38223230982391","-75.62084612417809","","no/non","no/non",""
"Ball Diamond","ball_diamond","Ball Diamond","Windsor Park Gloucester","3560 Wyman Place, Gloucester","45.34485013298827","-75.65906735003603","","no/non","no/non",""
"Ball Diamond","ball_diamond","Ball Diamond - Grassy Area","Trend Park","36 Canfield Road, Nepean","45.327728307234715","-75.78677883522778","","no/non","no/non",""
"Ball Diamond","ball_diamond","T-Ball","Alcide Trudeau Park (Vars)","5715 Rockdale Road, Cumberland","45.35564990141753","-75.35138536500426","","no/non","no/non",""
"Ball Diamond","ball_diamond","Ball Diamond","Bayshore Park","175 Woodridge Crescent, Nepean","45.34969799361698","-75.80918296663576","","no/non","no/non",""
"Ball Diamond","ball_diamond","T-Ball","Bel-Air Park","2149 Berwick Avenue, Ottawa","45.35768417380258","-75.76319177620256","","no/non","no/non",""
"Ball Diamond","ball_diamond","Ball Diamond (Youth)","Eastvale Park","740 Eastvale Drive, Gloucester","45.45958603086227","-75.59707818847208","","no/non","no/non",""
"Ball Diamond","ball_diamond","Ball Diamond 01","Dumaurier Park","2850 Dumaurier Avenue, Ottawa","45.35176837086974","-75.79156817352066","","yes/oui","no/non",""
"Ball Diamond","ball_diamond","Ball Diamond 02 - Baseball","Alexander Grove Park","10 Warner Colpitts Lane, Goulbourn","45.26002797385196","-75.92781495377378","","no/non","no/non",""
"Ball Diamond","ball_diamond","T-Ball","Echo Park","6698 Marina Drive, Rideau","45.16889635989088","-75.63929396458201","","no/non","no/non",""
"Ball Diamond","ball_diamond","Ball Diamond","Alfred Taylor Recreation Facility - North Gower","2300 Community Way, Rideau","45.131241191472334","-75.70956273372798","","yes/oui","no/non",""
