NAME,TYPE,LINE,LATITUDE,LONGITUDE
"Bayview","O-Train","Line 2 Trillium","45.40927790631141","-75.72193829339129"
"Blair","O-Train","Line 1 Confederation","45.43108310134786","-75.60836061252064"
"Carleton","O-Train","Line 2 Trillium","45.38557373827006","-75.69582229807651"
"Carling","O-Train","Line 2 Trillium","45.3974035458643","-75.70947143884398"
"Cyrville","O-Train","Line 1 Confederation","45.42254692691886","-75.6264510483073"
"Greenboro","O-Train","Line 2 Trillium","45.35972070788128","-75.65915048372567"
"Hurdman","O-Train","Line 1 Confederation","45.41202586943259","-75.66480035416183"
"Lebreton","O-Train","Line 1 Confederation","45.414046563516166","-75.7130379724058"
"Lees","O-Train","Line 1 Confederation","45.4162762376924","-75.67022948876972"
"Mooney's Bay","O-Train","Line 2 Trillium","45.37683437487303","-75.68492282403693"
"Place d'Orleans","O-Train","O-Train","45.47870982053138","-75.51875293709098"
"Tunney's Pasture","O-Train","Line 1 Confederation","45.403830589737694","-75.73492284254525"
"Westboro","O-Train","Line 1 Confederation","45.396443161160875","-75.75233935142599"
"Abbey","Transitway","Transitway","45.406500542059476","-75.66433106707089"
"Bank North","Transitway","Transitway","45.420034873677466","-75.70022949394583"
"Bank South","Transitway","Transitway","45.41995373750512","-75.69816753787359"
"Baseline","Transitway","Transitway","45.347657913719985","-75.76092734256022"
"Bay North","Transitway","Transitway","45.41708647857837","-75.70701629915504"
"Bay South","Transitway","Transitway","45.41619366345488","-75.7069678503168"
"Bayshore","Transitway","Transitway","45.34575306661273","-75.8100978755998"
"Billings Bridge","Transitway","Transitway","45.384587464348044","-75.67670679651577"
"Campus","Transitway","Transitway","45.42054482539843","-75.68222267514244"
"Eagleson","Transitway","Transitway","45.31527890692958","-75.8824555655479"
"Fallowfield","Transitway","Transitway","45.298285668008944","-75.73515566071407"
"Heron","Transitway","Transitway","45.378912504155984","-75.67962454432151"
"Iris","Transitway","Transitway","45.35599032958788","-75.76992389197726"
"Kent North","Transitway","Transitway","45.418640719370465","-75.70346092716059"
"Kent South","Transitway","Transitway","45.41786530240759","-75.7030209188597"
"Laurier North","Transitway","Transitway","45.42419345851473","-75.68675730871291"
"Laurier South","Transitway","Transitway","45.42383387871733","-75.68673244154924"
"Lincoln Fields","Transitway","Transitway","45.36564447124582","-75.78285146728095"
"MacKenzie King","Transitway","Transitway","45.42408788060421","-75.6897546679141"
"Metcalfe North","Transitway","Transitway","45.421791123962535","-75.69617866873288"
"Metcalfe South","Transitway","Transitway","45.42128348803852","-75.69507609541776"
"Pleasant Park","Transitway","Transitway","45.39262552745707","-75.66960286085845"
"Queensway North","Transitway","Transitway","45.359425647495144","-75.77229060420457"
"Queensway South","Transitway","Transitway","45.3591034138279","-75.77171307641011"
"Riverside","Transitway","Transitway","45.39670156996276","-75.66931005948317"
"Smyth","Transitway","Transitway","45.40108799794039","-75.66671138158823"
"South Keys","Transitway","Transitway","45.35343853926054","-75.65510687917096"
"St. Laurent","Transitway","Transitway","45.42059503663785","-75.63810485475895"
"Train","Transitway","Transitway","45.41718656855117","-75.65241564695398"
"Walkley","Transitway","Transitway","45.368814475540866","-75.66721287507875"
