ctuid,name,transect,canopyCover,canopyGoal,treeEquityScore,isPriorityArea
"5050053.00","Lowertown-Rideau St","Downtown Core",12,30,68,false
"5050040.00","Centretown-Lyon St-Maclaren St","Downtown Core",20,30,86,false
"5050037.01","Centretown-Elgin-Cooper","Downtown Core",11,30,73,false
"5050038.00","Centretown-Bank St","Downtown Core",11,30,64,true
"5050047.00","LeBreton Flats","Downtown Core",20,30,92,false
"5050051.00","Sandy Hill-King Edward Ave","Downtown Core",21,30,84,false
"5050055.00","Sussex Dr-Bingham Park","Downtown Core",15,30,82,false
"5050048.00","Centretown-Downtown","Downtown Core",5,30,66,false
"5050049.00","Centretown-Golden Triangle","Downtown Core",21,30,88,false
"5050052.00","Sandy Hill-Riverfront-Cummings Bridge","Downtown Core",26,30,94,false
"5050054.00","Byward Market","Downtown Core",6,30,66,false
"5050014.00","Sandy Hill-Strathcona Heights","Downtown Core",18,30,76,false
"5050039.00","Centretown-Lyon St-McLeod St","Downtown Core",20,30,86,false
"5050015.00","Old Ottawa East-St Paul University","Downtown Core",20,30,82,false
"5050035.00","The Glebe Annex-Little Italy","Downtown Core",12,30,72,false
"5050042.00","Dalhousie-Rochester Heights","Downtown Core",13,30,63,true
"5050050.00","University of Ottawa","Downtown Core",18,30,84,false
"5050056.00","Lowertown-Beausoleil Dr","Downtown Core",16,30,76,false
"5050037.02","Centretown-Elgin-Gladstone","Downtown Core",15,30,80,false
"5050041.00","Somerset-Chinatown","Downtown Core",19,30,82,false
"5050032.02","Laurentian View-Highland Park","Inner Urban",28,40,85,false
"5050033.01","Westboro-Dovercourt","Inner Urban",26,40,84,false
"5050033.02","Westboro-Hampton Park","Inner Urban",27,40,86,false
"5050122.01","Cummings-Cyrville","Inner Urban",17,40,60,true
"5050122.03","Carson Grove","Inner Urban",7,40,62,false
"5050045.01","Island Park-Tunney's Pasture","Inner Urban",26,40,87,false
"5050045.02","Island Park-Van Lang","Inner Urban",21,40,78,false
"5050102.00","Vanier-Montreal Rd","Inner Urban",16,40,70,false
"5050103.00","Vanier-Richelieu Park","Inner Urban",20,40,76,false
"5050104.00","Vanier-Landry St","Inner Urban",16,40,75,false
"5050110.00","Rockcliffe Park","Inner Urban",47,40,100,false
"5050138.00","Bayshore","Inner Urban",25,40,72,false
"5050023.02","Central Park","Inner Urban",13,40,67,true
"5050011.03","Rideau River Park-Riviera","Inner Urban",18,40,69,false
"5050011.01","East Industrial-Sheffield Glen-Russell Heights","Inner Urban",15,40,59,true
"5050062.02","Wateridge Village at Rockcliffe","Inner Urban",10,40,73,false
"5050020.01","Rideauview-Courtland Park-Experimental Farm-Carleton University","Inner Urban",23,40,76,false
"5050032.01","Woodpark","Inner Urban",25,40,80,false
"5050004.00","Clementine","Inner Urban",23,40,77,false
"5050005.00","Billings Bridge","Inner Urban",19,40,70,false
"5050012.00","Overbrook-The Four Corners-Queen Mary Court","Inner Urban",20,40,69,false
"5050013.00","Overbrook-Donald Court","Inner Urban",19,40,70,false
"5050015.00","Old Ottawa East-St Paul University","Inner Urban",17,40,69,false
"5050016.00","Rideau Gardens","Inner Urban",30,40,90,false
"5050017.00","Old Ottawa South-Brewer Park","Inner Urban",28,40,86,false
"5050044.00","Island Park-Fisher Park","Inner Urban",29,40,90,false
"5050046.00","Mechanicsville","Inner Urban",16,40,69,false
"5050057.00","Lindenlea","Inner Urban",22,40,84,false
"5050058.00","New Edinburg-Rideau Hall","Inner Urban",31,40,91,false
"5050059.00","Rockcliffe-Manor Park","Inner Urban",33,40,94,false
"5050060.00","Brittany-Beechwood","Inner Urban",34,40,92,false
"5050061.00","Forbes","Inner Urban",19,40,69,false
"5050100.00","Vanier-McArthur Ave","Inner Urban",17,40,68,false
"5050101.00","Vanier-Parkway-Kingsview Park","Inner Urban",21,40,78,false
"5050018.00","Glebe-Lansdowne","Inner Urban",20,40,80,false
"5050019.00","Glebe South-Dows Lake","Inner Urban",28,40,86,false
"5050021.00","Carlington-Alexander","Inner Urban",24,40,78,false
"5050025.00","Whitehaven-Glabar Park","Inner Urban",25,40,80,false
"5050026.00","Pinecrest Terrace","Inner Urban",21,40,73,false
"5050022.00","Carlington-Belleview-Lepage-Caldwell","Inner Urban",22,40,68,true
"5050028.00","Foster Farm","Inner Urban",22,40,70,false
"5050030.00","Britannia Village-Eva Tylor Court-Winthrop Court-Regina Towers","Inner Urban",23,40,75,false
