id,name,treeCanopy,treeEquityScore,censusTractCount,priorityAreas,transects
"alta-vista","Alta Vista",28,83,3,0,"Inner Urban, Outer Urban"
"bayshore","Bayshore",17,51,2,1,"Inner Urban, Outer Urban"
"beacon-hill-south-cardinal-heights","Beacon Hill South",21,72,2,0,"Outer Urban"
"beaverbrook","Beaverbrook",29,88,1,0,"Suburban"
"bells-corners-east","Bells Corners East",24,78,1,0,"Outer Urban"
"bells-corners-west","Bells Corners West",21,69,1,0,"Outer Urban"
"billings-bridge-heron-park","Billings Bridge",21,72,2,0,"Inner Urban, Outer Urban"
"blackburn-hamlet","Blackburn Hamlet",26,84,3,0,"Outer Urban"
"blossom-park-timbermill","Blossom Park",20,69,2,0,"Outer Urban"
"borden-farm-fisher-glen","Borden Farm",18,62,2,0,"Outer Urban"
"braemar-park-bel-air-heights-copeland-park","Braemar Park",22,73,2,0,"Outer Urban"
"bridlewood-emerald-meadows","Bridlewood",16,73,4,0,"Suburban"
"britannia","Britannia",25,77,2,0,"Inner Urban, Outer Urban"
"brookside-briarbrook-morgan-s-grant","Morgan's Grant",16,75,3,0,"Suburban"
"cardinal-creek","Cardinal Creek",9,73,3,0,"Suburban"
"carleton-heights-courtland-park","Carleton Heights",21,71,2,0,"Outer Urban"
"carlington","Carlington",21,71,4,2,"Inner Urban, Outer Urban"
"carp","Carp",,,0,0,""
"carson-grove-carson-meadows","Carson Grove",20,71,2,0,"Outer Urban"
"centrepointe","Centrepointe",24,74,2,0,"Outer Urban"
"centretown","Centretown",14,77,8,1,"Downtown Core"
"chapel-hill-north","Chapel Hill North",22,84,3,0,"Suburban"
"chapel-hill-south","Chapel Hill South",10,69,2,0,"Suburban"
"chapman-mills","Chapman Mills",10,65,3,0,"Suburban"
"city-view","City view",24,75,1,0,"Outer Urban"
"civic-hospital","Civic Hospital",25,85,2,0,"Inner Urban"
"constance-bay","Constance Bay",,,0,0,""
"convent-glen-orleans-woods","Convent Glen",18,81,4,0,"Suburban"
"corkery","Corkery",,,0,0,""
"craig-henry-manordale","Craig Henry",17,60,2,0,"Outer Urban"
"crestview-tanglewood","Crestview",22,73,2,0,"Outer Urban"
"crystal-bay-lakeview-park","Crystal Bay",,,0,0,""
"cumberland","Cumberland",,,0,0,""
"dunrobin","Dunrobin",,,0,0,""
"edwards-carlsbad-springs","Carlsbad Springs",,,0,0,""
"elmvale-canterbury","Elmvale Acres",21,73,2,0,"Outer Urban"
"emerald-woods-sawmill-creek","Sawmill Creek",20,62,1,0,"Outer Urban"
"fallingbrook","Fallingbrook",16,78,5,0,"Suburban"
"findlay-creek","Findlay Creek",6,68,3,0,"Suburban"
"fisher-heights","Fisher Heights",23,69,1,0,"Outer Urban"
"fitzroy","Fitzroy",,,0,0,""
"glebe-dows-lake","Glebe - Dows Lake",25,84,3,0,"Inner Urban"
"glen-cairn","Glen Cairn",19,78,2,0,"Suburban"
"greely","Greely",,,0,0,""
"greenboro-east","Greenboro East",19,62,2,0,"Outer Urban"
"greenboro-west","Greenboro West",,,0,0,""
"hawthorne-meadows-sheffield-glen","Sheffield Glen",20,64,1,0,"Outer Urban"
"hintonburg-mechanicsville","Hintonburg",19,76,2,0,"Inner Urban"
"hunt-club-park","Hunt Club Park",16,62,2,0,"Outer Urban"
"iris","Iris",21,70,2,0,"Inner Urban, Outer Urban"
"island-park-wellington-village","Wellington Village",27,88,2,0,"Inner Urban"
"kanata-lakes","Kanata Lakes",18,74,3,0,"Suburban"
"katimavik-hazeldean","Katimavik",25,83,3,0,"Suburban"
"kinburn","Kinburn",,,0,0,""
"laurentian","Laurentian",27,83,2,0,"Inner Urban"
"ledbury-heron-gate-ridgemont","Heron Gate",14,50,3,2,"Outer Urban"
"leslie-park-bruce-farm","Leslie Park",25,80,1,0,"Outer Urban"
