neighbourhood_id,neighbourhood_name,name,shop_type,category,brand,address,latitude,longitude,osm_id,osm_type
alta-vista,Alta Vista,NEW MIDDLEAST SUPERMARKET,,grocery,,1755 BANK ST,45.3737361,-75.6644327,,
bayshore,Bayshore,AR FOODMART,,grocery,,2914 CARLING AVE,45.3566152,-75.8008187,,
bayshore,Bayshore,MAC'S SUSHI,,grocery,,100 BAYSHORE DR,45.3469493,-75.8065581,,
bayshore,Bayshore,MANILA MART,,grocery,,2924 CARLING AVE,45.3565119,-75.8012461,,
bayshore,Bayshore,SHOPPERS DRUG MART,,grocery,,3080 CARLING AVE,45.3548299,-75.8044881,,
bayshore,Bayshore,WALMART,,grocery,,100 BAYSHORE DR,45.3469493,-75.8065581,,
beacon-hill-south-cardinal-heights,Beacon Hill South - Cardinal Heights,CANADIAN TIRE,,grocery,,2010 OGILVIE RD,45.435066,-75.606445,,
beacon-hill-south-cardinal-heights,Beacon Hill South - Cardinal Heights,CANADIAN TIRE GAS,,grocery,,2006 OGILVIE RD,45.435946,-75.6057919,,
beacon-hill-south-cardinal-heights,Beacon Hill South - Cardinal Heights,COSTCO,,grocery,,1405 BLAIR TOWERS PL,45.4349421,-75.6034548,,
beacon-hill-south-cardinal-heights,Beacon Hill South - Cardinal Heights,ISTANBUL FOOD MART,,grocery,,2164 MONTR&#207;&#191;&#189;AL RD,45.448597,-75.5893834,,
beacon-hill-south-cardinal-heights,Beacon Hill South - Cardinal Heights,KOREMS FOODS &  VARIETY STORE,,grocery,,1724 MONTR&#207;&#191;&#189;AL RD,45.4457933,-75.6106935,,
beacon-hill-south-cardinal-heights,Beacon Hill South - Cardinal Heights,METRO,,grocery,,1930 MONTREAL RD,45.4454287,-75.5952339,,
beacon-hill-south-cardinal-heights,Beacon Hill South - Cardinal Heights,MY FOOD MART,,grocery,,1730 MONTREAL RD,45.4456921,-75.6101624,,
beacon-hill-south-cardinal-heights,Beacon Hill South - Cardinal Heights,PETRO CANADA - NEIGHBOURS COFFEE,,grocery,,2180 MONTREAL RD,45.4497116,-75.5885987,,
beacon-hill-south-cardinal-heights,Beacon Hill South - Cardinal Heights,SHOPPERS DRUG MART,,grocery,,2016 OGILVIE RD,45.4368389,-75.6040595,,
beaverbrook,Beaverbrook,CIRCLE K,,grocery,,1031 TERON RD,45.3305915,-75.900366,,
bells-corners-east,Bells Corners East,BELL'S CORNER MINI MART,,grocery,,2072 ROBERTSON RD,45.322444,-75.8313318,,
bells-corners-east,Bells Corners East,ESSO,,grocery,,1856 ROBERTSON RD,45.3271357,-75.819751,,
bells-corners-east,Bells Corners East,GIANT TIGER,,grocery,,1861 ROBERTSON,45.3280723,-75.820536,,
bells-corners-east,Bells Corners East,KFRESH AFRO-CARIBBEAN SUPERMARKET AND TAKEOUT,,grocery,,2090 ROBERTSON RD,45.3219535,-75.8324033,,
bells-corners-east,Bells Corners East,LOBLAWS,,grocery,,2065 ROBERTSON RD,45.3242684,-75.8330906,,
bells-corners-east,Bells Corners East,METRO,,grocery,,1811 ROBERTSON RD,45.3302476,-75.8171021,,
bells-corners-east,Bells Corners East,PETRO CANADA,,grocery,,1881 ROBERTSON ROAD,45.3272944,-75.8215401,,
bells-corners-east,Bells Corners East,SHOPPERS DRUG MART,,grocery,,1821 ROBERTSON ROAD,45.329103,-75.8192172,,
bells-corners-west,Bells Corners West,CANADIAN TIRE,,grocery,,2135 ROBERTSON ROAD,45.3224828,-75.8359127,,
bells-corners-west,Bells Corners West,CANADIAN TIRE GAS,,grocery,,2135 ROBERTSON ROAD,45.3224828,-75.8359127,,
