neighbourhood_id,neighbourhood_name,name,type,cuisine,latitude,longitude,osm_id,osm_type
alta-vista,Alta Vista,DANA'S INDIAN CUISINE,,,45.3788366,-75.6673929,,
alta-vista,Alta Vista,HOMETOWN SPORTS GRILL,,,45.3811559,-75.6680609,,
alta-vista,Alta Vista,NAN'S PLACE,,,45.3970665,-75.6684086,,
alta-vista,Alta Vista,PIZZERIA DI BRAVI RAGAZZI,,,45.379714,-75.667755,,
alta-vista,Alta Vista,SALA THAI,,,45.3735154,-75.6634584,,
alta-vista,Alta Vista,SWEET BASIL RESTAURANT,,,45.379033,-75.66734,,
alta-vista,Alta Vista,BOHO LATTE,,,45.379714,-75.667755,,
alta-vista,Alta Vista,OTTAWA ROASTERY,,,45.3848058,-75.6712263,,
alta-vista,Alta Vista,POPULARITEA,,,45.3733492,-75.6642362,,
alta-vista,Alta Vista,SECOND CUP,,,45.3993275,-75.6481359,,
alta-vista,Alta Vista,THE RAINBOW CAFE,,,45.3989901,-75.6530926,,
alta-vista,Alta Vista,GABRIEL PIZZA,,,45.3735409,-75.6633491,,
alta-vista,Alta Vista,KFC,,,45.3735022,-75.6636809,,
alta-vista,Alta Vista,MANGO'S SHAWARMA,,,45.3734699,-75.66397,,
alta-vista,Alta Vista,MARY BROWN'S CHICKEN,,,45.3748968,-75.665352,,
alta-vista,Alta Vista,MOUL HANOUT,,,45.3794058,-75.6674463,,
alta-vista,Alta Vista,MR. KABAB,,,45.3799076,-75.6674156,,
alta-vista,Alta Vista,PIZZA PIZZA,,,45.3746121,-75.6650841,,
alta-vista,Alta Vista,ROYALTY PIZZA,,,45.3850045,-75.6712273,,
alta-vista,Alta Vista,SAFFRON KABAB RESTAURANT,,,45.3742139,-75.6646335,,
alta-vista,Alta Vista,SUBWAY,,,45.3734097,-75.6638257,,
alta-vista,Alta Vista,THE BURGER'S PRIEST,,,45.3761518,-75.6658746,,
alta-vista,Alta Vista,TIM HORTONS,,,45.3962637,-75.6688755,,
alta-vista,Alta Vista,TIM HORTONS,,,45.3781675,-75.6667993,,
alta-vista,Alta Vista,YEMEN GATE,,,45.3798846,-75.6675208,,
bayshore,Bayshore,AKAI' BOWL,,,45.347237,-75.8068316,,
bayshore,Bayshore,BOYS & GIRLS OF OTTAWA KITCHEN,,,45.3511894,-75.7945152,,
bayshore,Bayshore,JIMMY THE GREEK,,,45.3469493,-75.8065581,,
bayshore,Bayshore,MANCHU WOK,,,45.3469493,-75.8065581,,
bayshore,Bayshore,MEZBAAN RESTAURANT,,,45.3541125,-75.8060834,,
bayshore,Bayshore,OSMOWS RESTAURANT,,,45.347237,-75.8068316,,
bayshore,Bayshore,TERIYAKI EXPERIENCE,,,45.3469493,-75.8065581,,
bayshore,Bayshore,THE PH KITCHEN,,,45.3565772,-75.8008983,,
bayshore,Bayshore,VIET THAI RESTAURANT,,,45.3505177,-75.7905011,,
bayshore,Bayshore,REAL FRUIT BUBBLE TEA,,,45.3469493,-75.8065581,,
